//Data Set,Label,Longitude,Latitude,Level,Country,Province,City,District,Township,Neighborhood,Confirmed,Suspected,Healed,Dead,Increased Confirmed,Increased Suspected,Increased Healed,Increased Dead,Comments,Time
"New Coronavirus Pneumonia",,106.482347,29.484527,"City","China","Chongqing","大渡口区",,,,7,0,6,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,105.721733,29.707032,"City","China","Chongqing","大足区",,,,14,0,10,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.463987,31.018498,"City","China","Chongqing","奉节县",,,,22,0,17,0,0,0,4,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.879153,31.074834,"City","China","Chongqing","巫山县",,,,10,0,8,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.570062,31.398604,"City","China","Chongqing","巫溪县",,,,14,0,12,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.53384,29.375528,"City","China","Chongqing","巴南区",,,,6,0,3,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,108.393135,31.160711,"City","China","Chongqing","开州区",,,,21,0,19,1,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,108.165538,29.293902,"City","China","Chongqing","彭水县",,,,2,0,1,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,108.039002,30.29956,"City","China","Chongqing","忠县",,,,21,0,18,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,107.798158,30.672071,"City","China","Chongqing","梁平区",,,,4,0,4,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,107.7508,29.320892,"City","China","Chongqing","武隆区",,,,1,0,1,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,105.927376,29.356117,"City","China","Chongqing","永川区",,,,5,0,5,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.574271,29.606703,"City","China","Chongqing","江北区",,,,28,0,17,0,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.259281,29.290069,"City","China","Chongqing","江津区",,,,4,0,4,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.456878,29.541145,"City","China","Chongqing","沙坪坝区",,,,9,0,3,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,107.389298,29.703113,"City","China","Chongqing","涪陵区",,,,5,0,2,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.568892,29.55275,"City","China","Chongqing","渝中区",,,,20,0,17,0,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.631187,29.718143,"City","China","Chongqing","渝北区",,,,17,0,13,0,0,0,2,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,105.840556,30.191013,"City","China","Chongqing","潼南区",,,,18,0,7,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.227305,29.592024,"City","China","Chongqing","璧山区",,,,9,0,8,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,108.112941,29.9964,"City","China","Chongqing","石柱县",,,,15,0,12,0,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.009994,28.409341,"City","China","Chongqing","秀山县",,,,1,0,1,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.651362,29.028067,"City","China","Chongqing","綦江区",,,,23,0,13,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,105.594623,29.405002,"City","China","Chongqing","荣昌区",,,,9,0,6,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,108.767747,28.841244,"City","China","Chongqing","酉阳县",,,,1,0,1,0,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.056404,29.844811,"City","China","Chongqing","铜梁区",,,,10,0,4,0,0,0,0,0,,"2020-02-28 18:38:00"
