//数据集,标签,经度,纬度,级别,国家,省,市,区县,乡镇,村庄,确认,疑似,治愈,死亡,新增确诊,新增疑似,新增治愈,新增死亡,说明,时间
"新型冠状病毒肺炎",,104.075931,30.651651,"省","中国","四川",,,,,538,0,336,3,4,0,15,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.314324,39.086569,"市","中国","天津","东丽区",,,,4,0,4,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.139343,39.217817,"市","中国","天津","北辰区",,,,6,0,4,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.150738,39.138203,"市","中国","天津","南开区",,,,6,0,4,0,0,0,2,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.208125,39.118897,"市","中国","天津","和平区",,,,6,0,5,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,-200.0,-200.0,"市","中国","天津","外地来津人员",,,,6,0,6,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.826625,39.329858,"市","中国","天津","宁河区",,,,4,0,2,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.309863,39.717379,"市","中国","天津","宝坻区",,,,60,0,40,1,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.044388,39.384119,"市","中国","天津","武清区",,,,2,0,2,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.251587,39.128291,"市","中国","天津","河东区",,,,15,0,11,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.196648,39.147869,"市","中国","天津","河北区",,,,12,0,10,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.223372,39.109563,"市","中国","天津","河西区",,,,4,0,4,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.391976,38.984526,"市","中国","天津","津南区",,,,2,0,1,0,1,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.78067,39.246083,"市","中国","天津","滨海新区",,,,3,0,3,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.151533,39.167345,"市","中国","天津","红桥区",,,,2,0,2,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.013949,39.141591,"市","中国","天津","西青区",,,,4,0,4,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.200983,39.084158,"省","中国","天津",,,,,136,0,102,3,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,105.196902,37.499972,"市","中国","宁夏","中卫",,,,4,0,3,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,106.198393,37.99746,"市","中国","宁夏","吴忠",,,,28,0,27,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,106.24261,36.015855,"市","中国","宁夏","固原",,,,5,0,5,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,106.586197,38.164406,"市","中国","宁夏","宁东管委会",,,,1,0,1,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,106.383303,38.983236,"市","中国","宁夏","石嘴山",,,,1,0,1,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,106.230909,38.487193,"市","中国","宁夏","银川",,,,33,0,31,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,106.258754,38.471317,"省","中国","宁夏",,,,,72,0,68,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,115.778676,33.844582,"市","中国","安徽","亳州",,,,108,0,99,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.521854,31.733699,"市","中国","安徽","六安",,,,69,0,53,0,0,0,5,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.227239,31.820586,"市","中国","安徽","合肥",,,,174,0,138,1,0,0,2,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.063754,30.543494,"市","中国","安徽","安庆",,,,83,0,80,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,118.758816,30.940718,"市","中国","安徽","宣城",,,,6,0,4,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.964356,33.646373,"市","中国","安徽","宿州",,,,41,0,33,0,0,0,3,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.491568,30.6648,"市","中国","安徽","池州",,,,17,0,13,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.798265,33.955844,"市","中国","安徽","淮北",,,,27,0,22,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.999932,32.625478,"市","中国","安徽","淮南",,,,27,0,21,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,118.317106,32.301556,"市","中国","安徽","滁州",,,,13,0,10,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,118.432941,31.352859,"市","中国","安徽","芜湖",,,,34,0,30,0,1,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.389719,32.916287,"市","中国","安徽","蚌埠",,,,160,0,136,5,0,0,9,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.812079,30.945429,"市","中国","安徽","铜陵",,,,29,0,28,0,0,0,2,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,115.814204,32.890124,"市","中国","安徽","阜阳",,,,155,0,128,0,0,0,16,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,118.506759,31.670452,"市","中国","安徽","马鞍山",,,,38,0,30,0,0,0,5,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,118.337481,29.714655,"市","中国","安徽","黄山",,,,9,0,6,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.284922,31.861184,"省","中国","安徽",,,,,990,0,831,6,1,0,44,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,118.356448,35.104672,"市","中国","山东","临沂",,,,49,0,45,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,122.120419,37.513068,"市","中国","山东","威海",,,,38,0,28,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.357464,37.434092,"市","中国","山东","德州",,,,37,0,16,2,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,119.526888,35.416377,"市","中国","山东","日照",,,,16,0,12,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.323725,34.810487,"市","中国","山东","枣庄",,,,24,0,22,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.087614,36.200252,"市","中国","山东","泰安",,,,35,0,26,2,0,0,3,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.119999,36.651216,"市","中国","山东","济南",,,,47,0,25,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.587098,35.414921,"市","中国","山东","济宁",,,,258,0,45,0,0,0,2,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,118.054927,36.813487,"市","中国","山东","淄博",,,,30,0,21,1,0,0,3,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.970703,37.38199,"市","中国","山东","滨州",,,,15,0,12,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,119.161755,36.706774,"市","中国","山东","潍坊",,,,44,0,27,0,0,0,3,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,121.447935,37.463822,"市","中国","山东","烟台",,,,47,0,30,0,0,0,2,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,115.985371,36.456703,"市","中国","山东","聊城",,,,38,0,33,0,0,0,1,0,,"2020-02-28 16:58:00"
