gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,owner,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
1292,5,120.57615,30.032388,绍兴,,330600,0575,330600000000,,,绍兴市,,,,,,,1010,2,100,1010,1292,,,,,
1293,5,119.642739,29.082035,金华,,330700,0579,330700000000,,,金华市,,,,,,,1010,2,100,1010,1293,,,,,
1294,5,118.854662,28.973165,衢州,,330800,0570,330800000000,,,衢州市,,,,,,,1010,2,100,1010,1294,,,,,
1295,5,122.203057,29.987698,舟山,,330900,0580,330900000000,,,舟山市,,,,,,,1010,2,100,1010,1295,,,,,
1296,5,121.416329,28.659336,台州,,331000,0576,331000000000,,,台州市,,,,,,,1010,2,100,1010,1296,,,,,
1297,5,119.918391,28.471036,丽水,,331100,0578,331100000000,,,丽水市,,,,,,,1010,2,100,1010,1297,,,,,
1298,5,117.221757,31.822585,合肥,,340100,0551,340100000000,,,合肥市,,,,,,,1011,2,100,1011,1298,,,,,
1299,5,118.42756,31.354711,芜湖,,340200,0553,340200000000,,,芜湖市,,,,,,,1011,2,100,1011,1299,,,,,
1300,5,117.383871,32.917992,蚌埠,,340300,0552,340300000000,,,蚌埠市,,,,,,,1011,2,100,1011,1300,,,,,
1301,5,116.994505,32.627528,淮南,,340400,0554,340400000000,,,淮南市,,,,,,,1011,2,100,1011,1301,,,,,
1302,5,118.50158,31.672443,马鞍山,,340500,0555,340500000000,,,马鞍山市,,,,,,,1011,2,100,1011,1302,,,,,
1303,5,116.792868,33.957271,淮北,,340600,0561,340600000000,,,淮北市,,,,,,,1011,2,100,1011,1303,,,,,
1304,5,117.806739,30.947723,铜陵,,340700,0562,340700000000,,,铜陵市,,,,,,,1011,2,100,1011,1304,,,,,
1305,5,117.058296,30.545776,安庆,,340800,0556,340800000000,,,安庆市,,,,,,,1011,2,100,1011,1305,,,,,
1306,5,118.332276,29.717054,黄山,,341000,0559,341000000000,,,黄山市,,,,,,,1011,2,100,1011,1306,,,,,
1307,5,118.311705,32.303563,滁州,,341100,0550,341100000000,,,滁州市,,,,,,,1011,2,100,1011,1307,,,,,
1308,5,115.808833,32.892122,阜阳,,341200,1558,341200000000,,,阜阳市,,,,,,,1011,2,100,1011,1308,,,,,
1309,5,116.958972,33.647937,宿州,,341300,0557,341300000000,,,宿州市,,,,,,,1011,2,100,1011,1309,,,,,
1310,5,116.516779,31.73577,六安,,341500,0564,341500000000,,,六安市,,,,,,,1011,2,100,1011,1310,,,,,
1311,5,115.773137,33.846026,亳州,,341600,0558,341600000000,,,亳州市,,,,,,,1011,2,100,1011,1311,,,,,
1312,5,117.486101,30.667161,池州,,341700,0566,341700000000,,,池州市,,,,,,,1011,2,100,1011,1312,,,,,
1313,5,118.753693,30.942938,宣城,,341800,0563,341800000000,,,宣城市,,,,,,,1011,2,100,1011,1313,,,,,
1314,5,119.291694,26.077609,福州,,350100,0591,350100000000,,,福州市,,,,,,,1012,2,100,1012,1314,,,,,
1315,5,118.084448,24.48248,厦门,,350200,0592,350200000000,,,厦门市,,,,,,,1012,2,100,1012,1315,,,,,
1316,5,119.003042,25.456866,莆田,,350300,0594,350300000000,,,莆田市,,,,,,,1012,2,100,1012,1316,,,,,
1317,5,117.633779,26.266831,三明,,350400,0598,350400000000,,,三明市,,,,,,,1012,2,100,1012,1317,,,,,
1318,5,118.671128,24.87704,泉州,,350500,0595,350500000000,,,泉州市,,,,,,,1012,2,100,1012,1318,,,,,
1319,5,117.642694,24.515926,漳州,,350600,0596,350600000000,,,漳州市,,,,,,,1012,2,100,1012,1319,,,,,
1320,5,118.172721,26.645064,南平,,350700,0599,350700000000,,,南平市,,,,,,,1012,2,100,1012,1320,,,,,
1321,5,117.01266,25.07788,龙岩,,350800,0597,350800000000,,,龙岩市,,,,,,,1012,2,100,1012,1321,,,,,
1322,5,119.54335,26.669112,宁德,,350900,0593,350900000000,,,宁德市,,,,,,,1012,2,100,1012,1322,,,,,
1323,5,115.853297,28.686222,南昌,,360100,0791,360100000000,,,南昌市,,,,,,,1013,2,100,1013,1323,,,,,
1324,5,117.173102,29.271478,景德镇,,360200,0798,360200000000,,,景德镇市,,,,,,,1013,2,100,1013,1324,,,,,
1325,5,113.849255,27.626179,萍乡,,360300,0799,360300000000,,,萍乡市,,,,,,,1013,2,100,1013,1325,,,,,
1326,5,115.996835,29.707615,九江,,360400,0792,360400000000,,,九江市,,,,,,,1013,2,100,1013,1326,,,,,
1327,5,114.912499,27.821266,新余,,360500,0790,360500000000,,,新余市,,,,,,,1013,2,100,1013,1327,,,,,
1328,5,117.063928,28.263324,鹰潭,,360600,0701,360600000000,,,鹰潭市,,,,,,,1013,2,100,1013,1328,,,,,
1329,5,114.930301,25.835011,赣州,,360700,0797,360700000000,,,赣州市,,,,,,,1013,2,100,1013,1329,,,,,
1330,5,114.987526,27.116797,吉安,,360800,0796,360800000000,,,吉安市,,,,,,,1013,2,100,1013,1330,,,,,
1331,5,114.411473,27.818722,宜春,,360900,0795,360900000000,,,宜春市,,,,,,,1013,2,100,1013,1331,,,,,
1332,5,116.353175,27.952351,抚州,,361000,0794,361000000000,,,抚州市,,,,,,,1013,2,100,1013,1332,,,,,
1333,5,117.938453,28.458268,上饶,,361100,0793,361100000000,,,上饶市,,,,,,,1013,2,100,1013,1333,,,,,
1334,5,117.113871,36.650786,济南,,370100,0531,370100000000,,,济南市,,,,,,,1014,2,100,1014,1334,,,,,
1335,5,120.377506,36.066806,青岛,,370200,0532,370200000000,,,青岛市,,,,,,,1014,2,100,1014,1335,,,,,
1336,5,118.048847,36.812963,淄博,,370300,0533,370300000000,,,淄博市,,,,,,,1014,2,100,1014,1336,,,,,
1337,5,117.317816,34.811282,枣庄,,370400,0632,370400000000,,,枣庄市,,,,,,,1014,2,100,1014,1337,,,,,
1338,5,118.6691,37.434073,东营,,370500,0546,370500000000,,,东营市,,,,,,,1014,2,100,1014,1338,,,,,
1339,5,121.442728,37.462851,烟台,,370600,0535,370600000000,,,烟台市,,,,,,,1014,2,100,1014,1339,,,,,
1340,5,119.155873,36.706331,潍坊,,370700,0536,370700000000,,,潍坊市,,,,,,,1014,2,100,1014,1340,,,,,
1341,5,116.581807,35.415369,济宁,,370800,0537,370800000000,,,济宁市,,,,,,,1014,2,100,1014,1341,,,,,
1342,5,117.081546,36.200002,泰安,,370900,0538,370900000000,,,泰安市,,,,,,,1014,2,100,1014,1342,,,,,
1343,5,122.115362,37.512036,威海,,371000,0631,371000000000,,,威海市,,,,,,,1014,2,100,1014,1343,,,,,
1344,5,119.52146,35.416665,日照,,371100,0633,371100000000,,,日照市,,,,,,,1014,2,100,1014,1344,,,,,
1345,5,118.350694,35.105064,临沂,,371300,0539,371300000000,,,临沂市,,,,,,,1014,2,100,1014,1345,,,,,
1346,5,116.351563,37.433226,德州,,371400,0534,371400000000,,,德州市,,,,,,,1014,2,100,1014,1346,,,,,
1347,5,115.979691,36.456615,聊城,,371500,0635,371500000000,,,聊城市,,,,,,,1014,2,100,1014,1347,,,,,
1348,5,117.9648,37.381341,滨州,,371600,0543,371600000000,,,滨州市,,,,,,,1014,2,100,1014,1348,,,,,
1349,5,115.474809,35.234146,菏泽,,371700,0530,371700000000,,,菏泽市,,,,,,,1014,2,100,1014,1349,,,,,
1350,5,113.619321,34.747782,郑州,,410100,0371,410100000000,,,郑州市,,,,,,,1015,2,100,1015,1350,,,,,
1351,5,114.301737,34.798132,开封,,410200,0378,410200000000,,,开封市,,,,,,,1015,2,100,1015,1351,,,,,
1352,5,112.44779,34.620708,洛阳,,410300,0379,410300000000,,,洛阳市,,,,,,,1015,2,100,1015,1352,,,,,
1353,5,113.186392,33.767605,平顶山,,410400,0375,410400000000,,,平顶山市,,,,,,,1015,2,100,1015,1353,,,,,
1354,5,114.386302,36.097403,安阳,,410500,0372,410500000000,,,安阳市,,,,,,,1015,2,100,1015,1354,,,,,
