name,rgba,rgb,value,SRGB,HSB,AdobeRGB,AppleRGB,EciRGB,SRGBLinear,AdobeRGBLinear,AppleRGBLinear,CalculatedCMYK,EciCMYK,AdobeCMYK,XYZ,CieLab,Lchab,CieLuv,Lchuv,PaletteIndex
棕绿,0x827100ff,"#827100",-8228608,130 113 0 100%,52 100% 51%,125 112 26,110 94 0,132 124 23,57 42 0,53 42 2,56 43 0,0 13 100 49,47 34 97 0,45 42 100 16,0.160931 0.168049 0.019145,48.01 -0.63 53.33,48.01 53.33 90.68,48.01 16.14 40.01,48.01 43.14 68.03,-1
褐色,0x6e511eff,"#6E511E",-9547490,110 81 30 100%,38 73% 43%,103 82 39,90 63 20,109 90 37,40 21 3,34 21 4,39 21 3,0 26 73 57,57 53 89 1,43 60 100 32,0.101537 0.094468 0.019435,36.83 8.39 33.76,36.83 34.79 76.04,36.83 23.18 24.47,36.83 33.7 46.55,-1
棕黑,0x7c4b00ff,"#7C4B00",-8631552,124 75 0 100%,36 100% 49%,112 76 18,102 58 0,118 84 14,51 18 0,42 18 1,49 17 0,0 40 100 51,47 57 97 6,35 66 100 31,0.114987 0.095287 0.00964,36.98 17.73 45.97,36.98 49.27 68.9,36.98 40.0 27.42,36.98 48.5 34.43,-1
赭色,0x955539ff,"#955539",-6990535,149 85 57 100%,18 62% 58%,133 86 61,128 66 42,140 95 66,77 23 10,61 23 11,73 22 10,0 43 62 42,39 57 73 0,28 69 80 20,0.171894 0.134475 0.042229,43.43 25.24 28.21,43.43 37.86 48.18,43.43 49.55 19.51,43.43 53.25 21.5,-1
赭石,0x845a33ff,"#845A33",-8103373,132 90 51 100%,29 61% 52%,121 90 56,111 71 37,128 100 60,59 26 8,49 26 9,57 26 8,0 32 61 48,48 52 78 0,36 61 86 24,0.144726 0.126642 0.036785,42.25 14.63 29.52,42.25 32.95 63.64,42.25 32.69 22.46,42.25 39.66 34.5,-1
精白,0xffffffff,"#FFFFFF",-1,255 255 255 100%,0 0% 100%,255 255 255,255 255 255,255 255 255,255 255 255,255 255 255,255 255 255,0 0 0 0,0 0 0 0,0 0 0 0,0.96422 1.0 0.82521,100.0 0.0 0.0,100.0 0.0 157.38,100.0 0.0 0.0,100.0 0.0 150.97,-1
银白,0xe9e7efff,"#E9E7EF",-1447953,233 231 239 100%,255 3% 94%,232 230 238,227 225 235,235 233 240,208 204 220,207 204 219,207 203 221,3 3 0 6,10 6 5 0,9 9 3 0,0.786541 0.806489 0.705393,91.98 1.77 -3.65,91.98 4.05 295.9,91.98 0.7 -5.0,91.98 5.05 277.94,-1
铅白,0xf0f0f4ff,"#F0F0F4",-986892,240 240 244 100%,240 2% 96%,240 240 243,236 236 241,242 242 245,222 222 231,222 222 230,222 222 231,2 2 0 4,7 4 4 0,6 5 3 0,0.844953 0.873385 0.742839,94.88 0.53 -1.94,94.88 2.01 285.38,94.88 -0.24 -2.57,94.88 2.59 264.59,-1
霜色,0xe9f1f6ff,"#E9F1F6",-1445386,233 241 246 100%,203 5% 96%,235 241 245,228 238 244,238 242 247,208 224 235,212 224 235,209 225 235,5 2 0 4,10 3 4 0,9 4 2 0,0.825906 0.867753 0.754937,94.64 -2.06 -3.39,94.64 3.97 238.71,94.64 -4.99 -3.94,94.64 6.36 218.32,-1
雪白,0xf0fcffff,"#F0FCFF",-983809,240 252 255 100%,192 6% 100%,243 252 255,237 252 255,245 252 255,222 248 255,230 248 255,224 249 255,6 1 0 0,6 0 2 0,6 0 1 0,0.897901 0.952342 0.820839,98.13 -3.66 -2.88,98.13 4.66 218.12,98.13 -7.17 -2.98,98.13 7.76 202.59,-1
