# 制作：北京语言大学-汉语国际教育技术研发中心 http://nlp.blcu.edu.cn
"Idiom","Pinyin"
长篇大论,chang2_pian1_da4_lun4
长驱直入,chang2_qu1_zhi2_ru4
长途跋涉,chang2_tu2_ba2_she4
长治久安,chang2_zhi4_jiu3_an1
畅所欲言,chang4_suo3_yu4_yan2
超凡入圣,chao1_fan2_ru4_sheng4
超然物外,chao1_ran2_wu4_wai4
朝不保夕,zhao1_bu4_bao3_xi1
朝朝暮暮,zhao1_zhao1_mu4_mu4
朝发夕至,zhao1_fa1_xi1_zhi4
朝令夕改,zhao1_ling4_xi1_gai3
朝气蓬勃,zhao1_qi4_peng2_bo2
朝乾夕惕,zhao1_gan1_xi1_ti4
朝秦暮楚,zhao1_qin2_mu4_chu3
朝三暮四,zhao1_san1_mu4_si4
朝思暮想,zhao1_si1_mu4_xiang3
嘲风咏月,chao2_feng1_yong3_yue4
车马盈门,che1_ma3_ying2_men2
车水马龙,che1_shui2_ma3_long2
车载斗量,che1_zai4_dou3_liang2
彻头彻尾,che4_tou2_che4_wei3
晨钟暮鼓,chen2_zhong1_mu4_gu3
沉默寡言,chen2_mo4_gua3_yan2
沉吟不决,chen2_yin2_bu4_jue2
沉鱼落雁,chen2_yu2_luo4_yan4
陈词滥调,chen2_ci2_lan4_diao4
陈规陋习,chen2_gui1_lou4_xi2
趁火打劫,chen4_huo2_da3_jie2
趁热打铁,chen4_re4_da2_tie3
称孤道寡,chen1_gu1_dao4_gua3
称王称霸,cheng1_wang2_cheng1_ba4
称心如意,chen4_xin1_ru2_yi4
城下之盟,cheng2_xia4_zhi1_meng2
成家立业,cheng2_jia1_li4_ye4
成千上万,cheng2_qian1_shang4_wan4
成群结队,cheng2_qun2_jie2_dui4
成人之美,cheng2_ren2_zhi1_mei3
成竹在胸,cheng2_zhu2_zai4_xiong1
乘风破浪,cheng2_feng1_po4_lang4
乘人之危,cheng2_ren2_zhi1_wei1
乘虚而入,cheng2_xu1_er2_ru4
惩前毖后,cheng2_qian2_bi4_hou4
惩一儆百,cheng2_yi4_jing2_bai3
诚惶诚恐,cheng2_huang2_cheng2_kong3
诚心诚意,cheng2_xin1_cheng2_yi4
承上启下,cheng2_shang4_qi3_xia4
承先启后,cheng2_xian1_qi3_hou4
吃里爬外,chi1_li3_pa2_wai4
痴人说梦,chi1_ren2_shuo1_meng4
痴心妄想,chi1_xin1_wang4_xiang3
持之以恒,chi2_zhi1_yi3_heng2
持之有故,chi2_zhi1_you3_gu4
驰名中外,chi2_ming2_zhong1_wai4
赤膊上阵,chi4_bo2_shang4_zhen4
赤胆忠心,chi4_dan3_zhong1_xin1
赤身裸体,chi4_shen1_luo2_ti3
赤手空拳,chi4_shou3_kong1_quan2
充耳不闻,chong1_er3_bu4_wen2
冲锋陷阵,chong1_feng1_xian4_zhen4
崇山峻岭,chong2_shan1_jun4_ling3
崇洋媚外,chong2_yang2_mei4_wai4
踌躇不前,chou2_chu2_bu4_qian2
踌躇满志,chou2_chu2_man3_zhi4
愁眉不展,chou2_mei2_bu4_zhan3
愁眉苦脸,chou2_mei2_ku2_lian3
愁眉锁眼,chou2_mei2_suo2_yan3
丑态百出,chou3_tai4_bai3_chu1
臭名远扬,chou4_ming2_yuan3_yang2
臭名昭著,chou4_ming2_zhao1_zhu4
臭味相投,chou4_wei4_xiang1_tou2
初出茅庐,chu1_chu1_mao2_lu2
初露锋芒,chu1_lu4_feng1_mang2
出敌不意,chu1_di2_bu2_yi4
出尔反尔,chu1_er2_fan3_er3
出口不凡,chu1_kou3_bu4_fan2
出口成章,chu1_kou3_cheng2_zhang1
出类拔萃,chu1_lei4_ba2_cui4
出谋划策,chu1_mou2_hua4_ce4
出谋献策,chu1_mou2_xian4_ce4
出其不意,chu1_qi2_bu2_yi4
出奇制胜,chu1_qi2_zhi4_sheng4
出人头地,chu1_ren2_tou2_di4
出人意料,chu1_ren2_yi4_liao4
出人意外,chu1_ren2_yi4_wai4
出神入化,chu1_shen2_ru4_hua4
出生入死,chu1_sheng1_ru4_si3
出头露面,chu1_tou2_lu4_mian4
出言不逊,chu1_yan2_bu2_xun4
除暴安良,chu2_bao4_an1_liang2
除恶务尽,chu2_e4_wu4_jin4
除旧布新,chu2_jiu4_bu4_xin1
楚汉相争,chu3_han4_xiang1_zheng1
触景生情,chu4_jing3_sheng1_qing2
触类旁通,chu4_lei4_pang2_tong1
触目惊心,chu4_mu4_jing1_xin1
处心积虑,chu3_xin1_ji1_lv4
处之泰然,chu3_zhi1_tai4_ran2
川流不息,chuan1_liu2_bu4_xi1
穿云破雾,chuan1_yun2_po4_wu4
穿凿附会,chuan1_zao2_fu4_hui4
穿针引线,chuan1_zhen1_yin3_xian4
串通一气,chuan4_tong1_yi2_qi4
疮痍满目,chuang1_yi2_man3_mu4
窗明几净,chuang1_ming2_ji1_jing4
吹吹打打,chui1_chui1_da2_da3
吹毛求疵,chui1_mao2_qiu2_ci1
捶胸顿足,chui2_xiong1_dun4_zu2
垂帘听政,chui2_lian2_ting1_zheng4
垂暮之年,chui2_mu4_zhi1_nian2
垂手而得,chui2_shou3_er2_de2
垂手可得,chui2_shou2_ke3_de2
垂死挣扎,chui2_si3_zheng1_zha2
垂头丧气,chui2_tou2_sang4_1_qi4
垂涎三尺,chui2_xian2_san1_chi3
垂涎欲滴,chui2_xian2_yu4_di1
春风得意,chun1_feng1_de2_yi4
春风化雨,chun1_feng1_hua4_yu3
春风满面,chun1_feng1_man3_mian4
春光明媚,chun1_guang1_ming2_mei4
春华秋实,chun1_hua2_qiu1_shi2
春暖花开,chun1_nuan3_hua1_kai1
春色满园,chun1_se4_man3_yuan2
春意盎然,chun1_yi4_ang4_ran2
唇齿相依,chun2_chi3_xiang1_yi1
唇枪舌剑,chun2_qiang1_she2_jian4
唇亡齿寒,chun2_wang2_chi3_han2
蠢蠢欲动,chun2_chun3_yu4_dong4
绰绰有余,chuo4_chuo4_you3_yu2
慈眉善目,ci2_mei2_shan4_mu4
此起彼伏,ci2_qi3_bi3_fu2
刺刺不休,ci4_ci4_bu4_xiu1
聪明伶俐,cong1_ming2_ling2_li4
从长计议,cong2_chang2_ji4_yi4
从井救人,cong2_jing3_jiu4_ren2
从容不迫,cong1_rong2_bu2_po4
从善如流,cong2_shan4_ru2_liu2
从天而降,cong2_tian1_er2_jiang4
从头至尾,cong2_tou2_zhi4_wei3
从心所欲,cong2_xin1_suo3_yu4
从一而终,cong2_yi4_er2_zhong1
粗茶淡饭,cu1_cha2_dan4_fan4
粗枝大叶,cu1_zhi1_da4_ye4
粗制滥造,cu1_zhi4_lan4_zao4
促膝谈心,cu4_xi1_tan2_xin1
摧枯拉朽,cui1_ku1_la1_xiu3
存而不论,cun2_er2_bu2_lun4
存亡未卜,cun2_wang2_wei4_bu3
寸步不离,cun4_bu2_bu4_li2
寸步难行,cun4_bu4_nan2_xing2
寸草不留,cun4_cao3_bu4_liu2
寸木岑楼,cun4_mu4_cen2_lou2
措手不及,cuo4_shou3_bu4_ji2
错综复杂,cuo4_zong1_fu4_za2
打抱不平,da3_bao4_bu4_ping2
打草惊蛇,da2_cao3_jing1_she2
打得火热,da3_de2_huo3_re4
打家劫舍,da3_jia1_jie2_she4
打落水狗,da3_luo4_shui2_gou3
打情骂俏,da3_qing2_ma4_qiao4
打退堂鼓,da3_tui4_tang2_gu3
大步流星,da4_bu4_liu2_xing1
大材小用,da4_cai2_xiao3_yong4
大处落墨,da4_chu3_luo4_mo4
大吹大擂,da4_chui1_da4_lei4
大醇小疵,da4_chun2_xiao3_ci1
大慈大悲,da4_ci2_da4_bei1
大打出手,da4_da3_chu1_shou3
大刀阔斧,da4_dao1_kuo4_fu3
大敌当前,da4_di2_dang1_qian2
大动干戈,da4_dong4_gan1_ge1
大发雷霆,da4_fa1_lei2_ting2
大放厥词,da4_fang4_jue2_ci2
大腹便便,da4_fu4_pian2_pian2
大功告成,da4_gong1_gao4_cheng2
大公无私,da4_gong1_wu2_si1
大海捞针,da4_hai3_lao1_zhen1
大喊大叫,da4_han3_da4_jiao4
大惑不解,da4_huo4_bu4_jie3
大惊失色,da4_jing1_shi1_se4
大惊小怪,da4_jing1_xiao3_guai4
大快人心,da4_kuai4_ren2_xin1
大名鼎鼎,da4_ming2_ding2_ding3
大谬不然,da4_miu4_bu4_ran2
大模大样,da4_mo2_da4_yang4
