# 制作：北京语言大学-汉语国际教育技术研发中心 http://nlp.blcu.edu.cn
"Idiom","Pinyin"
荒诞不经,huang1_dan4_bu4_jing1
荒谬绝伦,huang1_miu4_jue2_lun2
荒无人烟,huang1_wu2_ren2_yan1
荒淫无耻,huang1_yin2_wu2_chi3
慌手慌脚,huang1_shou3_huang1_jiao3
黄花晚节,huang2_hua1_wan3_jie2
黄袍加身,huang2_pao2_jia1_shen1
惶恐不安,huang2_kong3_bu4_an1
恍然大悟,huang3_ran2_da4_wu4
灰飞烟灭,hui1_fei1_yan1_mie4
灰心丧气,hui1_xin1_sang4_qi4
挥汗如雨,hui1_han4_ru2_yu3
挥金如土,hui1_jin1_ru2_tu3
挥洒自如,hui1_sa3_zi4_ru2
回肠荡气,hui2_chang2_dang4_qi4
回天之力,hui2_tian1_zhi1_li4
回头是岸,hui2_tou2_shi4_an4
回味无穷,hui2_wei4_wu2_qiong2
回心转意,hui2_xin1_zhuan3_yi4
回嗔作喜,hui2_chen1_zuo4_xi3
毁家纾难,hui3_jia1_shu1_nan2
毁于一旦,hui3_yu2_yi2_dan4
毁誉参半,hui3_yu4_can1_ban4
悔不当初,hui3_bu4_dang1_chu1
悔过自新,hui3_guo4_zi4_xin1
悔之晚矣,hui3_zhi1_wan2_yi3
惠而不费,hui4_er2_bu2_fei4
贿赂公行,hui4_lu4_gong1_xing2
讳疾忌医,hui4_ji2_ji4_yi1
讳莫如深,hui4_mo4_ru2_shen1
诲人不倦,hui4_ren2_bu2_juan4
诲淫诲盗,hui4_yin2_hui4_dao4
绘声绘色,hui4_sheng1_hui4_se4
绘声绘影,hui4_sheng1_hui4_ying3
绘影绘色,hui4_ying3_hui4_se4
绘影绘声,hui4_ying3_hui4_sheng1
昏定晨省,hun1_ding4_chen2_xing2
昏天黑地,hun1_tian1_hei1_di4
昏头昏脑,hun1_tou2_hun1_nao3
魂不附体,hun2_bu2_fu4_ti3
魂不守舍,hun2_bu4_shou3_she4
魂飞魄散,hun2_fei1_po4_san4
浑金璞玉,hun2_jin1_pu2_yu4
浑然一色,hun2_ran2_yi2_se4
浑然一体,hun2_ran2_yi4_ti3
浑洒自如,hun2_sa3_zi4_ru2
浑水摸鱼,hun2_shui3_mo1_yu2
浑沌一片,hun2_dun4_yi2_pian4
混世魔王,hun4_shi4_mo2_wang2
混为一谈,hun4_wei2_yi4_tan2
混淆黑白,hun4_xiao2_hei1_bai2
混淆是非,hun4_xiao2_shi4_fei1
混淆视听,hun2_xiao2_shi4_ting1
豁达大度,huo4_da2_da4_du4
豁然开朗,huo1_ran2_kai1_lang3
活灵活现,huo2_ling2_huo2_xian4
活龙活现,huo2_long2_huo2_xian4
火海刀山,huo2_hai3_dao1_shan1
火冒三丈,huo3_mao4_san1_zhang4
火上加油,huo3_shang4_jia1_you2
火上浇油,huo3_shang4_jiao1_you2
火烧火燎,huo3_shao1_huo2_liao3
火烧眉毛,huo3_shao1_mei2_mao2
火树银花,huo3_shu4_yin2_hua1
火眼金睛,huo2_yan3_jin1_jing1
火中取栗,huo3_zhong1_qu3_li4
货真价实,huo4_zhen1_jia4_shi2
祸不单行,huo4_bu4_dan1_xing2
祸从口出,huo4_cong2_kou3_chu1
祸从天降,huo4_cong2_tian1_jiang4
祸国殃民,huo4_guo2_yang1_min2
祸起萧墙,huo4_qi3_xiao1_qiang2
击中要害,ji1_zhong4_yao4_hai4
机不可失,ji1_bu4_ke3_shi1
畸轻畸重,ji1_qing1_ji1_zhong4
积不相能,ji1_bu4_xiang1_neng2
积毁销骨,ji1_hui3_xiao1_gu3
积劳成疾,ji1_lao2_cheng2_ji2
积少成多,ji1_shao3_cheng2_duo1
积羽沉舟,ji1_yu3_chen2_zhou1
积重难返,ji1_zhong4_nan2_fan3
积铢累寸,ji1_zhu1_lei2_cun4
饥不择食,ji1_bu4_ze2_shi2
饥寒交迫,ji1_han2_jiao1_po4
激昂慷慨,ji1_ang2_kang1_kai3
激浊扬清,ji1_zhuo2_yang2_qing1
鸡虫得失,ji1_chong2_de2_shi1
鸡飞蛋打,ji1_fei1_dan4_da3
鸡零狗碎,ji1_ling2_gou3_sui4
鸡毛蒜皮,ji1_mao2_suan4_pi2
鸡鸣狗盗,ji1_ming2_gou3_dao4
鸡皮鹤发,ji1_pi2_he4_fa1
鸡犬不留,ji1_quan3_bu4_liu2
鸡犬不宁,ji1_quan3_bu4_ning2
鸡尸牛从,ji1_shi1_niu2_cong2
吉人天相,ji2_ren2_tian1_xiang1
极乐世界,ji2_le4_shi4_jie4
集思广益,ji2_si1_guang3_yi4
集腋成裘,ji2_ye4_cheng2_qiu2
及锋而试,ji2_feng1_er2_shi4
急不可待,ji2_bu4_ke3_dai4
急不可耐,ji2_bu4_ke3_nai4
急风暴雨,ji2_feng1_bao4_yu3
急功近利,ji2_gong1_jin4_li4
急公好义,ji2_gong1_hao4_yi4
急流勇进,ji2_liu2_yong3_jin4
急流勇退,ji2_liu2_yong3_tui4
急脉缓灸,ji2_mai4_huan2_jiu3
急起直追,ji2_qi3_zhi2_zhui1
急人之难,ji2_ren2_zhi1_nan2
急如星火,ji2_ru2_xing1_huo3
急若流星,ji2_ruo4_liu2_xing1
急中生智,ji2_zhong1_sheng1_zhi4
急转直下,ji2_zhuan3_zhi2_xia4
疾恶如仇,ji2_e4_ru2_chou2
疾风暴雨,ji2_feng1_bao4_yu3
疾风劲草,ji2_feng1_jing4_cao3
疾首蹙额,ji2_shou3_cu4_e2
疾言厉色,ji2_yan2_li4_se4
即景生情,ji2_jing3_sheng1_qing2
嫉贤妒能,ji2_xian2_du4_neng2
挤眉弄眼,ji3_mei2_nong4_yan3
济困扶危,ji4_kun4_fu2_wei1
寄人篱下,ji4_ren2_li2_xia4
计出万全,ji4_chu1_wan4_quan2
计日程功,ji4_ri4_cheng2_gong1
记忆犹新,ji4_yi4_you2_xin1
既往不咎,ji4_wang3_bu2_jiu4
继往开来,ji4_wang3_kai1_lai2
纪昌学射,ji4_chang1_xue2_she4
嘉言懿行,jia1_yan2_yi4_xing2
夹七夹八,jia1_qi1_jia1_ba1
家长里短,jia1_chang2_li2_duan3
家给人足,jia1_ji3_ren2_zu2
家家户户,jia1_jia1_hu4_hu4
家破人亡,jia1_po4_ren2_wang2
家徒四壁,jia1_tu2_si4_bi4
家无担石,jia1_wu2_dan1_shi2
家弦户诵,jia1_xian2_hu4_song4
家喻户晓,jia1_yu4_hu4_xiao3
加官进爵,jia1_guan1_jin4_jue2
加人一等,jia1_ren2_yi4_deng3
加油添醋,jia1_you2_tian1_cu4
假公济私,jia3_gong1_ji4_si1
假仁假义,jia3_ren2_jia3_yi4
假戏真做,jia3_xi4_zhen1_zuo4
价廉物美,jia4_lian2_wu4_mei3
价值连城,jia4_zhi2_lian2_cheng2
驾轻就熟,jia4_qing1_jiu4_shu2
嫁祸于人,jia4_huo4_yu2_ren2
监守自盗,jian1_shou3_zi4_dao4
坚壁清野,jian1_bi4_qing1_ye3
坚不可摧,jian1_bu4_2_ke3_cui1
坚持不懈,jian1_chi2_bu2_xie4
坚持不渝,jian1_chi2_bu4_yu2
坚定不移,jian1_ding4_bu4_yi2
坚苦卓绝,jian1_ku3_zhuo1_jue2
坚强不屈,jian1_qiang2_bu4_qu1
坚韧不拔,jian1_ren4_bu4_ba2
坚如磐石,jian1_ru2_pan2_shi2
坚贞不屈,jian1_zhen1_bu4_qu1
尖嘴薄舌,jian1_zui3_bo2_she2
兼而有之,jian1_er2_you3_zhi1
兼权熟计,jian1_quan2_shu2_ji4
兼容并包,jian1_rong2_bing4_bao1
兼收并蓄,jian1_shou1_bing4_u4
肩摩毂击,jian1_mo2_gu3_ji1
肩摩踵接,jian1_mo2_zhong3_jie1
艰苦奋斗,jian1_ku3_fen4_dou4
艰苦朴素,jian1_ku2_pu3_su4
艰苦卓绝,jian1_ku3_zhuo1_jue2
艰难险阻,jian1_nan2_xian2_zu3
缄口结舌,jian1_kou3_jie2_she2
拣佛烧香,jian3_fo2_shao1_xiang1
剪草除根,jian2_cao3_chu2_gen1
鉴貌辨色,jian4_mao4_bian4_se4
见财起意,jian4_cai2_qi3_yi4
见多识广,jian4_duo1_shi2_guang3
见风使舵,jian4_feng1_shi3_duo4
见风转舵,jian4_feng1_zhuan3_duo4
见缝插针,jian4_feng4_cha1_zhen1
见怪不怪,jian4_guai4_bu2_guai4
见机行事,jian4_ji1_xing2_shi4
见利忘义,jian4_li4_wang4_yi4
见猎心喜,jian4_lie4_xin1_xi3
见钱眼开,jian4_qian2_yan3_kai1
见仁见智,jian4_ren2_jian4_zhi4
见所未见,jian4_suo3_wei4_jian4
见兔顾犬,jian4_tu4_gu4_quan3
见微知著,jian4_wei1_zhi1_zhu4
见危授命,jian4_wei1_shou4_ming4
见义勇为,jian4_yi4_yong3_wei2
见异思迁,jian4_yi4_si1_qian1
箭在弦上,jian4_zai4_xian2_shang4
剑拔弩张,jian4_ba2_nu3_zhang1
渐入佳境,jian4_ru4_jia1_jing4
将错就错,jiang1_cuo4_jiu4_cuo4
将功赎罪,jiang1_gong1_shu2_zui4
将计就计,jiang1_ji4_jiu4_ji4
将信将疑,jiang1_xin4_jiang1_yi2
江河日下,jiang1_he2_ri4_xia4
江洋大盗,jiang1_yang2_da4_dao4
匠心独运,jiang4_xin1_du2_yun4
降龙伏虎,xiang4_long2_fu2_hu3
焦头烂额,jiao1_tou2_lan4_e2
交口称誉,jiao1_kou3_cheng1_yu4
交口称赞,jiao1_kou3_cheng1_zan4
交头接耳,jiao1_tou2_jie1_er3
交相辉映,jiao1_xiang1_hui1_ying4
骄傲自满,jiao1_ao4_zi4_man3
骄兵必败,jiao1_bing1_bi4_bai4
骄奢淫逸,jiao1_she1_yin2_yi4
娇生惯养,jiao1_sheng1_guan4_yang3
娇小玲珑,jiao1_xiao3_ling2_long2
矫揉造作,jiao3_rou2_zao4_zuo4
矫枉过正,jiao2_wang3_guo4_zheng4
脚踏实地,jiao3_ta4_shi2_di4
狡兔三窟,jiao3_tu4_san1_ku1
绞尽脑汁,jiao3_jin4_nao3_zhi1
教学相长,jiao4_xue2_xiang1_zhang3
教子有方,jiao4_zi2_you3_fang1
叫苦不迭,jiao4_ku3_bu4_die2
叫苦连天,jiao4_ku3_lian2_tian1
揭竿而起,jie1_gan1_er2_qi3
接二连三,jie1_er4_lian2_san1
接踵而来,jie1_zhong3_er2_lai2
接踵而至,jie1_zhong3_er2_zhi4
皆大欢喜,jie1_da4_huan1_xi3
街谈巷议,jie1_tan2_xiang4_yi4
街头巷尾,jie1_tou2_xiang4_wei3
截长补短,jie2_chang2_bu2_duan3
截然不同,jie2_ran2_bu4_tong2
劫富济贫,jie2_fu4_ji4_pin2
节外生枝,jie2_wai4_sheng1_zhi1
节衣缩食,jie2_yi1_suo1_shi2
捷足先登,jie2_zu2_xian1_deng1
竭尽全力,jie2_jin4_quan2_li4
竭泽而渔,jie2_ze2_er2_yu2
洁身自好,jie2_shen1_zi4_hao4
结草衔环,jie2_cao3_xian2_huan2
结党营私,jie2_dang3_ying2_si1
结发夫妻,jie2_fa4_fu1_qi1
解甲归田,jie2_jia3_gui1_tian2
解铃系铃,jie3_ling2_xi4_ling2
解囊相助,jie3_nang2_xiang1_zhu4
借刀杀人,jie4_dao1_sha1_ren2
借风使船,jie4_feng1_shi3_chuan2
借古讽今,jie4_gu2_feng3_jin1
借花献佛,jie4_hua1_xian4_fo2
借酒消愁,jie4_jiu3_xiao1_chou2
借尸还魂,jie4_shi1_huan2_hun2
借水行舟,jie4_shui3_xing2_zhou1
借题发挥,jie4_ti2_fa1_hui1
巾帼英雄,jin1_guo2_ying1_xiong2
筋疲力尽,jin1_pi2_li4_jin4
斤斤计较,jin1_jin1_ji4_jiao4
金碧辉煌,jin1_bi4_hui1_huang2
金蝉脱壳,jin1_chan2_tuo1_qiao4
金城汤池,jin1_cheng2_tang1_chi2
金刚努目,jin1_gang1_nu3_mu4
金戈铁马,jin1_ge1_tie2_ma3
金光闪闪,jin1_guang1_shan2_shan3
金科玉律,jin1_ke1_yu4_lv4
金迷纸醉,jin1_mi2_zhi3_zui4
金银财宝,jin1_yin2_cai2_bao3
金玉良言,jin1_yu4_liang2_yan2
金玉满堂,jin1_yu4_man3_tang2
金枝玉叶,jin1_zhi1_yu4_ye4
金字招牌,jin1_zi4_zhao1_pai2
今非昔比,jin1_fei1_xi1_bi3
今生今世,jin1_sheng1_jin1_shi4
津津乐道,jin1_jin1_le4_dao4
津津有味,jin1_jin1_you3_wei4
襟怀坦白,jin1_huai2_tan3_bai2
紧锣密鼓,jin3_luo2_mi4_gu3
紧追不舍,jin3_zhui1_bu4_she3
锦囊妙计,jin3_nang2_miao4_ji4
锦上添花,jin3_shang4_tian1_hua1
锦绣河山,jin3_xiu4_he2_shan1
锦绣前程,jin3_xiu4_qian2_cheng2
锦衣玉食,jin3_yi1_yu4_shi2
谨小慎微,jin2_xiao3_shen4_wei1
谨言慎行,jin3_yan2_shen4_xing2
进寸退尺,jin4_cun4_tui4_chi3
进退两难,jin4_tui4_liang3_nan2
进退维谷,jin4_tui4_wei2_gu3
近水楼台,jin4_shui3_lou2_tai2
近在咫尺,jin4_zai4_zhi2_chi3
尽瘁鞠躬,jin4_cui4_ju1_gong1
尽力而为,jin4_li4_er2_wei2
尽人皆知,jin4_ren2_jie1_zhi1
尽如人意,jin4_ru2_ren2_yi4
尽善尽美,jin4_shan4_jin4_mei3
尽收眼底,jin4_shou1_yan2_di3
尽心竭力,jin4_xin1_jie2_li4
尽心尽力,jin4_xin1_jin4_li4
尽心尽意,jin4_xin1_jin4_yi4
荆棘载途,jing1_ji2_zai3_tu2
兢兢业业,jing1_jing1_ye4_ye4
晶莹剔透,jing1_ying2_ti1_tou4
惊弓之鸟,jing1_gong1_zhi1_niao3
惊慌失措,jing1_huang1_shi1_cuo4
惊惶失措,jing1_huang2_shi1_cuo4
惊魂未定,jing1_hun2_wei4_ding4
惊恐万状,jing1_kong3_wan4_zhuang4
惊蛇入草,jing1_she2_ru4_cao3
惊涛骇浪,jing1_tao1_hai4_lang4
惊天动地,jing1_tian1_dong4_di4
惊喜交集,jing1_xi3_jiao1_ji2
惊心掉胆,jing1_xin1_diao4_dan3
惊心动魄,jing1_xin1_dong4_po4
精兵简政,jing1_bing1_jian3_zheng4
精诚团结,jing1_cheng2_tuan2_jie2
精打细算,jing1_da3_xi4_suan4
精雕细刻,jing1_diao1_xi4_ke4
精雕细镂,jing1_diao1_xi4_lou4
精耕细作,jing1_geng1_xi4_zuo4
精明强干,jing1_ming2_qiang2_gan4
精疲力竭,jing1_pi2_li4_jie2
精疲力尽,jing1_pi2_li4_jin4
精神抖擞,jing1_shen2_dou2_sou3
精神焕发,jing1_shen2_huan4_fa1
精益求精,jing1_yi4_qiu2_jing1
经久不衰,jing1_jiu3_bu4_shuai1
经久不息,jing1_jiu3_bu4_xi1
经纶天下,jing1_lun2_tian1_xia4
经年累月,jing1_nian2_lei3_yue4
井底之蛙,jing2_di3_zhi1_wa1
井井有条,jing2_jing3_you3_tiao2
井然不紊,jing3_ran2_bu4_wen3
井然有序,jing3_ran2_you3_xu4
敬而远之,jing4_er2_yuan3_zhi1
敬若神明,jing4_ruo4_shen2_ming2
敬谢不敏,jing4_xie4_bu4_min3
镜花水月,jing4_hua1_shui3_yue4
径情直遂,jing4_qing2_zhi2_sui2
炯炯有神,jiong2_jiong3_you3_shen2
揪人心肺,jiu1_ren2_xin1_fei4
久别重逢,jiu3_bie2_chong2_feng2
久而久之,jiu3_er2_jiu3_zhi1
久假不归,jiu3_jia4_bu4_gui1
久经沙场,jiu3_jing1_sha1_chang3
久慕盛名,jiu3_mu4_sheng4_ming2
久拖不决,jiu3_tuo1_bu4_jue2
九流三教,jiu3_liu2_san1_jiao4
九牛一毛,jiu3_niu2_yi4_mao2
九泉瞑目,jiu3_quan2_ming2_mu4
九死一生,jiu2_si3_yi4_sheng1
九五之尊,jiu2_wu3_zhi1_zun1
九霄云外,jiu3_xiao1_yun2_wai4
酒池肉林,jiu3_chi2_rou4_lin2
酒逢知己,jiu3_feng2_zhi1_ji3
酒酣耳热,jiu3_han1_er3_re4
酒囊饭袋,jiu3_nang2_fan4_dai4
酒肉朋友,jiu3_rou4_peng2_you3
酒食征逐,jiu3_shi2_zheng1_zhu2
酒足饭饱,jiu3_zu2_fan4_bao3
救火扬沸,jiu4_huo3_yang2_fei4
救苦救难,jiu4_ku3_jiu4_nan4
救死扶伤,jiu4_si3_fu2_shang1
救亡图存,jiu4_wang2_tu2_cun2
旧地重游,jiu4_di4_chong2_you2
旧调重弹,jiu4_diao4_chong2_dan4
咎由自取,jiu4_you2_zi4_qu3
就地取材,jiu4_di4_qu3_cai2
就地正法,jiu4_di4_zheng4_fa3
就事论事,jiu4_shi4_lun4_shi4
鞠躬尽瘁,ju1_gong1_jin4_cui4
居安思危,ju1_an1_si1_wei1
居高临下,ju1_gao1_lin2_xia4
居功自傲,ju1_gong1_zi4_ao4
居功自恃,ju1_gong1_zi4_shi4
居心叵测,ju1_xin1_po3_ce4
举案齐眉,ju3_an4_qi2_mei2
举不胜举,ju3_bu2_sheng4_ju3
举鼎绝膑,ju2_ding3_jue2_bin4
举国上下,ju3_guo2_shang4_xia4
举目无亲,ju3_mu4_wu2_qin1
举棋不定,ju3_qi2_bu2_ding4
举世闻名,ju3_shi4_wen2_ming2
举世无双,ju3_shi4_wu2_shuang1
举世瞩目,ju3_shi4_zhu3_mu4
举一反三,ju3_yi4_fan3_san1
举足轻重,ju3_zu2_qing1_zhong4
聚精会神,ju4_jing1_hui4_shen2
聚沙成塔,ju4_sha1_cheng2_ta3
聚讼纷纭,ju4_song4_fen1_yun2
聚蚊成雷,ju4_wen2_cheng2_lei2
拒人千里,ju4_ren2_qian1_li3
拒谏饰非,ju4_jian4_shi4_fei1
据理力争,ju1_li3_li4_zheng1
据为己有,ju1_wei2_ji2_you3
卷土重来,juan2_tu3_chong2_lai2
决一雌雄,jue2_yi4_ci2_xiong2
决一死战,jue2_yi4_si3_zhan4
绝处逢生,jue2_chu3_feng2_sheng1
绝甘分少,jue2_gan1_fen1_shao3
绝无仅有,jue2_wu2_jin2_you3
军令如山,jun1_ling4_ru2_shan1
开诚布公,kai1_cheng2_bu4_gong1
开诚相见,kai1_cheng2_xiang1_jian4
开花结果,kai1_hua1_jie2_guo3
开卷有益,kai1_juan2_you3_yi4
开门见山,kai1_men2_jian4_shan1
开门揖盗,kai1_men2_yi1_dao4
开山祖师,kai1_shan1_zu3_shi1
开天辟地,kai1_tian1_pi4_di4
开源节流,kai1_yuan2_jie2_liu2
开云见日,kai1_yun2_jian4_ri4
开宗明义,kai1_zong1_ming2_yi4
凯旋归来,kai3_xuan2_gui1_lai2
看风使舵,kan4_feng1_shi3_duo4
看破红尘,kan4_po4_hong2_chen2
看人眉睫,kan4_ren2_mei2_jie2
看朱成碧,kan4_zhu1_cheng2_bi4
康庄大道,kang1_zhuang1_da4_dao4
慷慨陈辞,kang1_kai3_chen2_ci2
慷慨激昂,kang1_kai3_ji1_ang2
慷慨解囊,kang1_kai2_jie3_nang2
抗尘走俗,kang4_chen2_zou3_su2
苛捐杂税,ke1_juan1_za2_shui4
科头跣足,ke1_tou2_xian3_zu2
咳声叹气,hai1_sheng1_tan4_qi4
可操左券,ke3_cao1_zuo3_quan4
可乘之机,ke3_cheng2_zhi1_ji1
可歌可泣,ke3_ge1_ke3_qi4
可亲可敬,ke3_qin1_ke3_jing4
可想而知,ke2_xiang3_er2_zhi1
克敌制胜,ke4_di2_zhi4_sheng4
克己奉公,ke4_ji3_feng4_gong1
克勤克俭,ke4_qin2_ke4_jian3
刻不容缓,ke4_bu4_rong2_huan3
刻骨铭心,ke4_gu3_ming2_xin1
刻肌刻骨,ke4_ji1_ke4_gu3
刻苦耐劳,ke4_ku3_nai4_lao2
刻舟求剑,ke4_zhou1_qiu2_jian4
空洞无物,kong1_dong4_wu2_wu4
空空如也,kong1_kong1_ru2_ye3
空口无凭,kong1_kou3_wu2_ping2
空前绝后,kong1_qian2_jue2_hou4
空头支票,kong1_tou2_zhi1_piao4
空穴来风,kong1_xue2_lai2_feng1
空中楼阁,kong1_zhong1_lou2_ge2
口碑载道,kou3_bei1_zai3_dao4
口口声声,kou2_kou3_sheng1_sheng1
口蜜腹剑,kou3_mi4_fu4_jian4
口若悬河,kou3_ruo4_xuan2_he2
口是心非,kou3_shi4_xin1_fei1
口诛笔伐,kou3_zhu1_bi3_fa2
扣人心弦,kou4_ren2_xin1_xian2
枯木逢春,ku1_mu4_feng2_chun1
枯木朽株,ku1_mu4_xiu3_zhu1
苦大仇深,ku3_da4_chou2_shen1
苦口婆心,ku2_kou3_po2_xin1
苦思冥想,ku3_si1_ming2_xiang3
苦心经营,ku3_xin1_jing1_ying2
夸大其词,kua1_da4_qi2_ci2
夸父追日,kua1_fu4_zhui1_ri4
夸夸其谈,kua1_kua1_qi2_tan2
快马加鞭,kuai4_ma3_jia1_bian1
宽打窄用,kuan1_da2_zhai3_yong4
宽大为怀,kuan1_da4_wei2_huai2
宽宏大量,kuan1_hong2_da4_liang4
狂风暴雨,kuang2_feng1_bao4_yu3
旷日持久,kuang4_ri4_chi2_jiu3
岿然不动,kui1_ran2_bu2_dong4
窥豹一斑,kui1_bao4_yi4_ban1
溃不成军,kui4_bu4_cheng2_jun1
困兽犹斗,kun4_shou4_you2_dou4
拉三扯四,la1_san1_che3_si4
来龙去脉,lai2_long2_qu4_mai4
来日方长,lai2_ri4_fang1_chang2
来势汹汹,lai2_shi4_xiong1_xiong1
来者不拒,lai2_zhe3_bu2_ju4
来之不易,lai2_zhi1_bu2_yi4
来踪去迹,lai2_zong1_qu4_ji1
蓝田生玉,lan2_tian2_sheng1_yu4
兰摧玉折,lan2_cui1_yu4_zhe2
兰因絮果,lan2_yin1_xu4_guo3
烂醉如泥,lan4_zui4_ru2_ni2
滥竽充数,lan4_yu2_chong1_shu4
狼狈不堪,lang2_bei4_bu4_kan1
狼狈为奸,lang2_bei4_wei2_jian1
狼奔豕突,lang2_ben1_shi3_tu1
狼吞虎咽,lang2_tun1_hu3_yan4
狼心狗肺,lang2_xin1_gou3_fei4
狼烟四起,lang2_yan1_si4_qi3
狼子野心,lang2_zi2_ye3_xin1
劳而无功,lao2_er2_wu2_gong1
劳苦功高,lao2_ku3_gong1_gao1
劳民伤财,lao2_min2_shang1_cai2
劳师动众,lao2_shi1_dong4_zhong4
劳燕分飞,lao2_yan4_fen1_fei1
牢不可破,lao2_bu4_ke3_po4
老蚌生珠,lao3_bang4_sheng1_zhu1
老成持重,lao3_cheng2_chi2_zhong4
老当益壮,lao3_dang1_yi4_zhuang4
老调重弹,lao3_diao4_chong2_tan2
老奸巨猾,lao3_jian1_ju4_hua2
老马识途,lao2_ma3_shi2_tu2
老谋深算,lao3_mou2_shen1_suan4
老牛破车,lao3_niu2_po4_che1
老气横秋,lao3_qi4_heng2_qiu1
老生常谈,lao3_sheng1_chang2_tan2
老态龙钟,lao3_tai4_long2_zhong1
老羞成怒,lao3_xiu1_cheng2_nu4
老妪能解,lao3_yu4_neng2_jie3
老骥伏枥,lao3_ji4_fu2_li4
乐不可支,le4_bu4_ke3_zhi1
乐不思蜀,le4_bu4_si1_shu3
乐此不疲,le4_ci3_bu4_pi2
乐而忘返,le4_er2_wang4_fan3
乐极生悲,le4_ji2_sheng1_bei1
乐善好施,le4_shan4_hao4_shi1
乐天知命,le4_tian1_zhi1_ming4
雷打不动,lei2_da3_bu2_dong4
雷厉风行,lei2_li4_feng1_xing2
雷霆万钧,lei2_ting2_wan4_jun1
累月经年,lei2_yue4_jing1_nian2
累牍连篇,lei2_du2_lian2_pian1
擂鼓筛锣,lei1_gu3_shai1_luo2
泪如泉涌,lei4_ru2_quan2_yong3
泪如雨下,lei4_ru2_yu3_xia4
冷嘲热讽,leng3_chao2_re4_feng3
冷暖自知,leng2_nuan3_zi4_zhi1
冷若冰霜,leng3_ruo4_bing1_shuang1
冷言冷语,leng3_yan2_leng2_yu3
冷眼旁观,leng2_yan3_pang2_guan1
犁庭扫闾,li2_ting2_sao3_lv2
离经叛道,li2_jing1_pan4_dao4
离群索居,li2_qun2_suo3_ju1
离乡背井,li2_xiang1_bei4_jing3
离心离德,li2_xin1_li2_de2
理屈词穷,li3_qu1_ci2_qiong2
理所当然,li2_suo3_dang1_ran2
理直气壮,li3_zhi2_qi4_zhuang4
里通外国,li3_tong1_wai4_guo2
里应外合,li3_ying4_wai4_he2
礼尚往来,li3_shang4_wang3_lai2
礼贤下士,li3_xian2_xia4_shi4
厉兵秣马,li4_bing1_mo4_ma3
厉行节约,li4_xing2_jie2_yue1
励精图治,li4_jing1_tu2_zhi4
历历在目,li4_li4_zai4_mu4
利令智昏,li4_ling4_zhi4_hun1
利益均沾,li4_yi4_jun1_zhan1
利欲熏心,li4_yu4_xun1_xin1
例行公事,li4_xing2_gong1_shi4
立此存照,li4_ci3_cun2_zhao4
立竿见影,li4_gan1_jian4_ying3
立功赎罪,li4_gong1_shu2_zui4
立身处世,li4_shen1_chu3_shi4
立锥之地,li4_zhui1_zhi1_di4
立足之地,li4_zu2_zhi1_di4
力不从心,li4_bu4_cong2_xin1
力竭声嘶,li4_jie2_sheng1_si1
力所能及,li4_suo3_neng2_ji2
力挽狂澜,li4_wan3_kuang2_lan2
力争上游,li4_zheng1_shang4_you2
连篇累牍,lian2_pian1_lei3_du2
廉正无私,lian2_zheng4_wu2_si1
怜贫惜老,lian2_pin2_xi1_lao3
怜香惜玉,lian2_xiang1_xi1_yu4
恋恋不舍,lian4_lian4_bu4_she3
梁上君子,liang2_shang4_jun1_zi3
良辰美景,liang2_chen2_mei2_jing3
良师益友,liang2_shi1_yi4_you3
两败俱伤,liang3_bai4_ju4_shang1
两面三刀,liang3_mian4_san1_dao1
两全其美,liang3_quan2_qi2_mei3
两手空空,liang2_shou3_kong1_kong1
两相情愿,liang3_xiang1_qing2_yuan4
两小无猜,liang2_xiao3_wu2_cai1
两袖清风,liang3_xiu4_qing1_feng1
量才录用,liang4_cai2_lu4_yong4
量力而行,liang4_li4_er2_xing2
量入为出,liang4_ru4_wei2_chu1
量体裁衣,liang2_ti3_cai2_yi1
聊复尔耳,liao2_fu4_er2_er3
聊胜于无,liao2_sheng4_yu2_wu2
聊以解嘲,liao2_yi2_jie3_chao2
聊以自慰,liao2_yi3_zi4_wei4
聊以卒岁,liao2_yi3_zu2_sui4
寥寥可数,liao2_liao2_ke3_shu4
寥寥无几,liao2_liao2_wu2_ji3
寥若晨星,liao2_ruo4_chen2_xing1
了如指掌,liao3_ru2_zhi2_zhang3
了无惧色,liao3_wu2_ju4_se4
料事如神,liao4_shi4_ru2_shen2
琳琅满目,lin2_lang2_man3_mu4
临机应变,lin2_ji1_ying4_bian4
临渴掘井,lin2_ke3_jue2_jing3
临深履薄,lin2_shen1_lv3_bo2
临危不惧,lin2_wei1_bu2_ju4
临危授命,lin2_wei1_shou4_ming4
临渊羡鱼,lin2_yuan1_xian4_yu2
临阵磨枪,lin2_zhen4_mo2_qiang1
临阵脱逃,lin2_zhen4_tuo1_tao2
鳞次栉比,lin2_ci4_zhi4_bi3
淋漓尽致,lin2_li2_jin4_zhi4
玲珑剔透,ling2_long2_ti1_tou4
零打碎敲,ling2_da3_sui4_qiao1
零七八碎,ling2_qi1_ba1_sui4
零敲碎打,ling2_qiao1_sui4_da3
伶牙俐齿,ling2_ya2_li4_chi3
伶仃孤苦,ling2_ding1_gu1_ku3
灵丹妙药,ling2_dan1_miao4_yao4
另起炉灶,ling4_qi3_lu2_zao4
另眼看待,ling4_yan3_kan4_dai4
另眼相看,ling4_yan3_xiang1_kan4
令人发指,ling4_ren2_fa1_zhi3
