# 来源：本词表来自BCC语料库汉语部分的报刊（news）频道。
# 说明：未去除字母词。存在部分数量词残留。
# 制作：北京语言大学・信息科学学院・大数据与教育技术研究所 2015年10月
# 引用：北京语言大学BCC语料库 http://bcc.blcu.edu.cn
# 吾匣：截取频数大于等于200的数据
"词","排名","频次"
工资,1032,219847
如此,1033,219363
切实,1034,219197
反动,1035,218957
另外,1036,218829
医疗,1037,218451
创新,1038,218384
人口,1039,218379
公,1040,218317
克服,1041,218290
刚,1042,218195
觉得,1043,218013
自由,1044,217663
分钟,1045,217301
年代,1046,217105
前进,1047,216478
操作,1048,216452
公开,1049,216207
尽管,1050,216146
伊拉克,1051,215309
系,1052,215296
毛泽东,1053,215119
基金,1054,215041
施工,1055,214909
地位,1056,214864
作风,1057,214790
反革命,1058,214443
解放军,1059,214056
后来,1060,214053
正是,1061,213921
通知,1062,213881
文章,1063,213791
网络,1064,213661
特,1065,213450
公路,1066,213270
院,1067,213242
保卫,1068,213102
怎么,1069,213013
紧张,1070,212892
沿,1071,212799
时代,1072,212653
分配,1073,212529
然后,1074,212225
符合,1075,211790
文化大革命,1076,211706
包,1077,211292
超,1078,211214
跑,1079,211145
难,1080,211118
依靠,1081,210986
积极性,1082,210939
批判,1083,210687
担,1084,210621
全县,1085,210544
生命,1086,210242
选手,1087,210050
资产,1088,209837
款,1089,209687
价,1090,209516
期,1091,209048
此外,1092,209002
药,1093,208995
批评,1094,208989
份,1095,208869
工作人员,1096,208841
定,1097,208683
厦,1098,208586
就业,1099,208518
大大,1100,208475
林,1101,208267
厦门市,1102,208167
收购,1103,208052
多少,1104,207818
消费,1105,207765
极,1106,207672
子,1107,207044
方案,1108,206974
内部,1109,206705
表明,1110,206694
因素,1111,206672
金融,1112,206649
有限公司,1113,206477
号召,1114,206247
观众,1115,205926
省委,1116,205315
推出,1117,204948
不足,1118,204912
并不,1119,204831
中国共产党,1120,204629
法,1121,204253
粮,1122,204208
事故,1123,204193
英雄,1124,204070
公斤,1125,203342
速度,1126,203208
为什么,1127,203190
功能,1128,203042
拥有,1129,202941
德国,1130,202863
满,1131,202731
增产,1132,202681
冠军,1133,202569
邓小平,1134,202376
特色,1135,202373
死,1136,202357
购,1137,202065
就要,1138,201834
发行,1139,201097
建成,1140,200998
案件,1141,200855
幅,1142,200488
每个,1143,200487
党中央,1144,200339
修正主义,1145,200137
设,1146,200119
架,1147,200016
专政,1148,199686
公布,1149,199668
很好,1150,199201
财政,1151,198798
坐,1152,198679
儿子,1153,198574
专门,1154,198466
第一次,1155,198432
民,1156,198221
发出,1157,197877
机制,1158,197694
往,1159,197435
各个,1160,197056
指,1161,196975
体系,1162,196556
需,1163,196195
显示,1164,195829
鼓励,1165,195776
相信,1166,195592
决议,1167,195480
从事,1168,195350
曾经,1169,195136
工会,1170,195002
大学,1171,194918
电视,1172,194705
一部分,1173,194523
针对,1174,194464
阶级斗争,1175,194294
持续,1176,194140
清,1177,193987
下降,1178,193945
马,1179,193783
基层,1180,193765
节约,1181,193606
状况,1182,193562
全世界,1183,193532
必要,1184,193512
资料,1185,192811
竞赛,1186,192649
苏,1187,192584
人类,1188,192557
多次,1189,192126
层,1190,191958
不但,1191,191939
再次,1192,191823
穿,1193,191660
电子,1194,191595
远,1195,191539
主义,1196,191251
著作,1197,190751
满足,1198,190701
球,1199,190699
素质,1200,190640
交易,1201,190560
同样,1202,190421
较大,1203,190397
同意,1204,190289
对外,1205,189944
容易,1206,189350
电脑,1207,189333
相当,1208,189200
读,1209,189131
降低,1210,188095
指标,1211,188017
离开,1212,187940
上升,1213,187666
相关,1214,187607
引进,1215,187575
一下,1216,187462
为主,1217,187435
适应,1218,187222
她们,1219,186936
光荣,1220,186829
成就,1221,186406
黄,1222,186142
永远,1223,185974
克,1224,185926
东,1225,185449
下来,1226,185375
装,1227,185347
母亲,1228,185153
科,1229,185122
深刻,1230,185089
保,1231,184180
铁路,1232,184087
读者,1233,183984
变,1234,183816
突破,1235,183776
教导,1236,183686
手段,1237,183615
领导人,1238,182753
成本,1239,182752
体现,1240,182524
怎样,1241,182463
光,1242,182281
发扬,1243,182231
几乎,1244,182180
抓好,1245,182138
利润,1246,182086
欧洲,1247,181913
那里,1248,181908
主,1249,181757
观念,1250,181485
采访,1251,181462
病人,1252,181322
互相,1253,181287
用户,1254,180767
那样,1255,180651
强烈,1256,180486
老师,1257,180063
文件,1258,180015
党支部,1259,179835
形象,1260,179760
一系列,1261,179726
牌,1262,179392
确保,1263,179331
上述,1264,179054
提前,1265,178910
爱国,1266,178786
春节,1267,178755
桥,1268,178539
如今,1269,178441
排,1270,178365
不够,1271,178286
杭,1272,178208
共产主义,1273,177960
增,1274,177715
大型,1275,177676
完,1276,177428
四人帮,1277,177376
月份,1278,176991
方便,1279,176970
树,1280,176951
选,1281,176928
未来,1282,176912
申请,1283,176552
顺利,1284,176237
选举,1285,175957
这么,1286,175921
产,1287,175905
修,1288,175902
保险,1289,175625
缺乏,1290,175083
表演,1291,175073
―,1292,175032
些,1293,174985
很快,1294,174500
树立,1295,174404
品牌,1296,174373
其实,1297,174358
令人,1298,174238
人物,1299,174063
浙江,1300,174046
身体,1301,173894
投资者,1302,173874
江泽民,1303,173866
第,1304,173863
物资,1305,173846
面对,1306,173810
音乐,1307,173767
换,1308,173684
总是,1309,173345
职业,1310,173044
患者,1311,172934
副,1312,172934
设立,1313,172930
参观,1314,172436
为此,1315,171949
柬埔寨,1316,171923
改革开放,1317,171857
变成,1318,171836
轮,1319,171794
父亲,1320,171724
阿,1321,171591
家里,1322,171476
市委,1323,171134
广告,1324,171036
试验,1325,170944
报纸,1326,170742
小学,1327,170649
某些,1328,170457
社区,1329,170368
立,1330,170064
业,1331,170025
周年,1332,169800
菜,1333,169662
费用,1334,169639
担任,1335,169631
友谊,1336,169523
需求,1337,169090
工作者,1338,168829
别人,1339,168797
提,1340,168485
两岸,1341,168463
谈判,1342,168105
对此,1343,168039
团体,1344,167926
量,1345,167880
杭州市,1346,167878
力,1347,167783
福建,1348,167753
高兴,1349,167747
人民币,1350,167629
突然,1351,167416
单,1352,167415
医生,1353,167348
不得,1354,167210
啊,1355,166955
版,1356,166500
篇,1357,166416
战线,1358,166357
模范,1359,166309
动员,1360,166298
此次,1361,165963
节,1362,165629
俄罗斯,1363,165478
首都,1364,165394
防止,1365,165326
车辆,1366,164890
国民经济,1367,164439
下去,1368,164169
规范,1369,164005
等等,1370,163978
意识,1371,163721
有力,1372,163715
短,1373,163707
密切,1374,163699
兄弟,1375,163562
数量,1376,163520
抓住,1377,163459
朝,1378,163397
有利于,1379,163345
首次,1380,163293
蔬菜,1381,163181
协调,1382,162982
白,1383,162826
一段,1384,162726
同期,1385,162538
创作,1386,162418
女子,1387,162365
男子,1388,162294
物,1389,162285
贫下中农,1390,162255
签订,1391,162143
推,1392,162052
调,1393,162030
联,1394,161659
政协,1395,161616
肯定,1396,161296
部长,1397,161050
出版,1398,160955
喜欢,1399,160927
查,1400,160835
队员,1401,160647
导致,1402,160404
明年,1403,160285
普通,1404,160265
运用,1405,160107
工人阶级,1406,159839
油,1407,159837
近年来,1408,159832
工具,1409,159710
故事,1410,159027
前往,1411,158965
斯,1412,158847
顾客,1413,158785
往往,1414,158748
动,1415,158734
差,1416,158617
回到,1417,158585
市政府,1418,158552
根,1419,158382
王,1420,158267
现实,1421,158144
这时,1422,158038
飞,1423,158032
高级,1424,157875
挂,1425,157804
同学,1426,157682
加以,1427,157558
句,1428,157367
媒体,1429,157318
通,1430,157279
胜,1431,157120
假,1432,157119
威胁,1433,157115
留,1434,156962
酒,1435,156832
效益,1436,156802
怕,1437,156757
压力,1438,156719
街道,1439,156659
有所,1440,156558
始终,1441,156366
属,1442,156360
适当,1443,156344
防,1444,156008
属于,1445,155898
加大,1446,155858
初步,1447,155817
北,1448,155645
处于,1449,155612
别,1450,155606
整顿,1451,155475
室,1452,155382
因而,1453,155332
以色列,1454,155301
观点,1455,154878
湖,1456,154655
且,1457,154602
权利,1458,154574
民兵,1459,154454
房屋,1460,154289
死亡,1461,153496
预计,1462,153261
任,1463,153002
步,1464,152971
掉,1465,152895
想到,1466,152797
粉,1467,152793
住房,1468,152645
种植,1469,152601
推行,1470,152557
相互,1471,152513
最终,1472,152491
平,1473,152458
∶,1474,152429
会谈,1475,152408
吸引,1476,152385
尔,1477,152364
首,1478,152044
谈,1479,151985
机械,1480,151943
落后,1481,151904
面临,1482,151402
状态,1483,151107
空间,1484,150989
女儿,1485,150724
英,1486,150721
帮,1487,150610
党内,1488,150471
江,1489,150361
最好,1490,150259
自觉,1491,150104
村民,1492,149917
战胜,1493,149778
外国,1494,149746
■,1495,149650
奋斗,1496,149628
第一个,1497,149434
加上,1498,149246
物质,1499,149142
阴谋,1500,148946
停止,1501,148927
承认,1502,148726
厅,1503,148715
纪念,1504,148558
黑,1505,148553
区域,1506,148517
亲自,1507,148508
信心,1508,148349
副主席,1509,148307
中国队,1510,148291
运动员,1511,148282
至今,1512,148247
秩序,1513,148228
明,1514,148094
心理,1515,148038
带领,1516,148026
当年,1517,147942
愿意,1518,147584
特殊,1519,147550
笔,1520,147471
企图,1521,147419
利,1522,147376
左,1523,147192
理解,1524,147145
春,1525,147130
引导,1526,146763
有着,1527,146718
毕业,1528,146521
回答,1529,146505
布,1530,146436
无论,1531,146415
人数,1532,146220
不可,1533,146134
据悉,1534,146112
办公室,1535,145912
岗位,1536,145829
遭到,1537,145777
比例,1538,145598
茶,1539,145526
治,1540,145525
幸福,1541,145451
值得,1542,145378
停,1543,145314
热,1544,145156
科研,1545,145152
股份,1546,145027
票,1547,144831
贵阳,1548,144768
倒,1549,144585
觉悟,1550,144543
末,1551,144433
危险,1552,144408
父母,1553,144342
税,1554,144297
现有,1555,144203
创,1556,144089
公告,1557,144073
满意,1558,143916
一边,1559,143862
用于,1560,143846
咨询,1561,143558
鼓舞,1562,143516
大陆,1563,143365
画,1564,143353
竟,1565,143351
多种,1566,143315
转变,1567,143064
显著,1568,142833
力度,1569,142739
易,1570,142573
煤,1571,142571
原料,1572,142446
座谈会,1573,142379
反复,1574,142285
教授,1575,141931
猪,1576,141929
牛,1577,141766
承担,1578,141671
工商,1579,141667
乱,1580,141633
半年,1581,141539
升,1582,141469
即将,1583,141438
各类,1584,141435
邀请,1585,141394
船,1586,141325
官员,1587,141198
足球,1588,141164
非法,1589,141113
手续,1590,140867
虽,1591,140843
老挝,1592,140711
强大,1593,140623
令,1594,140620
言,1595,140529
承包,1596,140523
考试,1597,140149
难以,1598,140111
清楚,1599,140016
鱼,1600,139812
合作社,1601,139730
战,1602,139655
到底,1603,139434
国营,1604,139298
那个,1605,139290
