# https://github.com/mahavivo/scripta-sinica
# 汉语古典文本数据库（殆知阁）
"汉字","排名","频次"
害,688,289252
红,689,288796
树,690,288151
寻,691,288047
庆,692,287669
忽,693,287521
英,694,287179
吉,695,286477
谁,696,286434
端,697,285991
附,698,285437
怀,699,285382
供,700,284176
申,701,283481
没,702,283358
机,703,283047
势,704,282673
赤,705,282605
唯,706,282328
房,707,282279
期,708,281337
支,709,280481
罢,710,279250
某,711,279206
梁,712,278638
防,713,278357
美,714,277588
象,715,276775
延,716,276627
俗,717,274897
巡,718,274827
庙,719,274622
丸,720,273910
魏,721,273786
逆,722,273523
查,723,272814
徐,724,272646
约,725,272610
曲,726,272434
仪,727,272361
强,728,272271
刺,729,269809
候,730,269208
慧,731,268909
般,732,267953
牛,733,267876
苏,734,267691
男,735,267611
副,736,267482
率,737,266921
奇,738,266573
略,739,266094
廷,740,266081
威,741,265577
骨,742,264830
素,743,264406
静,744,264318
诚,745,264085
遗,746,263052
感,747,262508
列,748,262364
显,749,261462
孔,750,261433
读,751,261224
祭,752,260781
梦,753,260627
庄,754,260417
纪,755,258836
虎,756,258561
後,757,258534
攻,758,258284
接,759,257587
积,760,256183
典,761,255048
获,762,254739
谢,763,254191
昌,764,253471
禁,765,253383
呼,766,253360
仲,767,252803
阁,768,252712
毒,769,252586
乞,770,252462
刑,771,252139
器,772,251982
律,773,251951
早,774,251855
科,775,251179
迁,776,251026
蜜,777,249656
郑,778,247968
歌,779,247864
越,780,247831
惊,781,247785
辛,782,247619
条,783,247593
私,784,247335
顾,785,247217
推,786,247057
楚,787,246395
浮,788,245931
隐,789,245889
辰,790,245474
劳,791,244703
鬼,792,244654
题,793,244392
禅,794,243353
泉,795,243132
幸,796,241394
尼,797,241137
予,798,240480
召,799,240415
习,800,240334
步,801,239857
护,802,239570
画,803,239141
竹,804,238802
昔,805,238004
遍,806,237978
肉,807,237577
败,808,237359
宿,809,237318
移,810,237054
词,811,236186
婆,812,236112
雪,813,235319
篇,814,233234
粮,815,232500
冬,816,232165
康,817,231950
消,818,231628
试,819,231618
赏,820,231187
米,821,230705
夷,822,230150
聚,823,230080
黑,824,230075
烦,825,230044
休,826,228424
溪,827,228335
楼,828,228138
准,829,228048
谋,830,228007
野,831,227853
权,832,227821
腹,833,226665
选,834,226504
假,835,226470
纳,836,225375
殊,837,225250
印,838,224847
尺,839,224258
救,840,224218
追,841,223612
覆,842,223528
击,843,223450
患,844,223145
折,845,222081
愈,846,222068
斗,847,221640
昭,848,221242
富,849,220751
赋,850,220167
丈,851,219687
献,852,219298
毕,853,217871
友,854,217533
蒙,855,217374
决,856,216747
曹,857,215939
慈,858,215713
崇,859,215665
点,860,215370
们,861,215087
杂,862,213944
详,863,213940
话,864,213925
忧,865,213472
倒,866,213073
桂,867,212835
尤,868,212172
群,869,212083
恭,870,211520
叫,871,211393
松,872,210899
妄,873,210749
則,874,210728
紫,875,210382
汗,876,210221
隆,877,209852
误,878,209112
闲,879,208808
陀,880,208681
朕,881,208426
見,882,207982
丞,883,207790
穷,884,207603
悲,885,207343
咸,886,207228
充,887,206729
孤,888,206676
毛,889,205835
骑,890,205458
赴,891,205379
减,892,205319
庶,893,204840
刻,894,204703
序,895,204124
角,896,203820
勿,897,203389
校,898,203265
午,899,202811
术,900,202773
做,901,202535
忍,902,202111
鼓,903,201754
厚,904,201198
珠,905,201102
熟,906,200872
乾,907,200677
露,908,200565
盗,909,200540
专,910,200400
鱼,911,200214
尘,912,200128
园,913,199892
渐,914,199824
资,915,199772
财,916,199696
舟,917,198030
枝,918,197789
况,919,197607
座,920,197526
寸,921,196244
兮,922,195925
凤,923,195459
源,924,195307
忘,925,194986
洞,926,194829
状,927,194782
丑,928,193933
速,929,193844
赞,930,193620
怒,931,193598
程,932,193596
嗣,933,193529
双,934,193488
继,935,193085
掌,936,192840
废,937,191820
惠,938,191731
燕,939,191684
普,940,190952
陆,941,190737
荣,942,190581
乌,943,190314
勤,944,190309
迎,945,190292
累,946,189841
淮,947,189821
