# 以[知乎](https://www.zhihu.com/)回答爲語料，總字數爲六億字，剔除非《通用規範漢字表》中的漢字後，統計字頻結果，並按照頻數降序排列。
# 本字頻表反映了簡體中文社區公衆用語習慣。有以下三個主要特點：一、其具有非官方性質，宣傳用語較少，貼近普通人生活。二、其具有社交性質，社交用語較多，貼近社交媒體生活。三、其語料質量較高，語言偏書面，且反映了一定的科學、文化、藝術基礎。
# 制作：https://github.com/forfudan/chinese-characters-frequency
"汉字","频次","频率","累计频率"
咀,1882,0.000003875665025093942,0.9973939900692609
噗,1876,0.00000386330902607664,0.997397853378287
肇,1868,0.000003846834360720236,0.9974017002126477
龈,1866,0.000003842715694381135,0.9974055429283422
坷,1864,0.000003838597028042035,0.9974093815253702
摁,1860,0.000003830359695363833,0.9974132118850655
婪,1857,0.000003824181695855181,0.9974170360667614
痊,1856,0.000003822122362685631,0.9974208581891241
斟,1851,0.0000038118256968378788,0.9974246700148209
穗,1847,0.0000038035883641596768,0.9974284736031851
悼,1843,0.000003795351031481475,0.9974322689542165
娓,1827,0.000003762401700768668,0.9974360313559173
芷,1824,0.0000037562237012600163,0.9974397875796186
睾,1821,0.000003750045701751365,0.9974435376253203
邹,1818,0.0000037438677022427137,0.9974472814930225
袱,1816,0.0000037397490359036127,0.9974510212420584
柚,1816,0.0000037397490359036127,0.9974547609910943
荀,1816,0.0000037397490359036127,0.9974585007401302
锂,1814,0.000003735630369564512,0.9974622363704998
薰,1812,0.000003731511703225411,0.997465967882203
襟,1811,0.000003729452370055861,0.997469697334573
郝,1810,0.00000372739303688631,0.9974734247276099
冉,1806,0.0000037191557042081085,0.9974771438833141
柬,1805,0.000003717096371038558,0.9974808609796851
鳄,1805,0.000003717096371038558,0.9974845780760562
狩,1801,0.0000037088590383603562,0.9974882869350945
陨,1795,0.0000036965030393430536,0.9974919834381338
虏,1794,0.000003694443706173503,0.99749567788184
苑,1793,0.0000036923843730039526,0.997499370266213
馋,1792,0.000003690325039834402,0.9975030605912529
咙,1790,0.0000036862063734953013,0.9975067467976264
汀,1790,0.0000036862063734953013,0.9975104330039999
廖,1789,0.0000036841470403257506,0.9975141171510402
窘,1787,0.00000368002837398665,0.9975177971794142
腋,1784,0.0000036738503744779988,0.9975214710297887
磷,1784,0.0000036738503744779988,0.9975251448801632
擒,1779,0.0000036635537086302465,0.9975288084338718
奎,1777,0.0000036594350422911455,0.9975324678689141
犊,1777,0.0000036594350422911455,0.9975361273039565
茉,1775,0.0000036553163759520445,0.9975397826203324
籽,1772,0.000003649138376443393,0.9975434317587089
烯,1770,0.000003645019710104292,0.9975470767784189
镖,1768,0.0000036409010437651916,0.9975507176794627
胯,1764,0.0000036326637110869896,0.9975543503431737
