# 来源：本词表来自BCC语料库汉语部分的博客（blog）频道。
# 说明：未去除字母词。存在部分数量词残留。
# 制作：北京语言大学・信息科学学院・大数据与教育技术研究所 2015年10月
# 引用：北京语言大学BCC语料库 http://bcc.blcu.edu.cn
# 吾匣：截取频数大于等于200的数据
"Word","Rank","Count"
基础,521,1982906
女,522,1982290
期,523,1978290
利用,524,1972733
回,525,1971608
明显,526,1971179
接,527,1970350
需求,528,1967694
不仅,529,1965639
推出,530,1965230
方案,531,1962872
爱,532,1961738
件,533,1959978
创新,534,1959478
积极,535,1955150
权,536,1954419
房地产,537,1949579
见,538,1948770
功能,539,1948105
完全,540,1947411
双方,541,1947062
保持,542,1946283
辆,543,1942887
上涨,544,1942599
特别,545,1936206
无法,546,1935961
许多,547,1933584
优势,548,1933550
受到,549,1932458
除了,550,1930644
尔,551,1925107
作用,552,1922391
共,553,1921878
农村,554,1915905
人民,555,1913778
严重,556,1907724
出来,557,1904122
规划,558,1901595
身,559,1899458
片,560,1891065
常,561,1890614
喜欢,562,1889228
事件,563,1887344
门,564,1879438
共同,565,1878964
指出,566,1877167
数据,567,1877119
并不,568,1875829
道,569,1872894
金融,570,1869768
谁,571,1860599
负责人,572,1858954
公布,573,1855592
整个,574,1855371
家庭,575,1851752
事情,576,1849117
老,577,1847432
质量,578,1843586
放,579,1841711
拿,580,1839705
主,581,1834701
交通,582,1829250
市民,583,1826260
较,584,1824830
用户,585,1824009
平方米,587,1814504
参与,593,1798391
球员,594,1788813
改,595,1787782
学习,596,1785903
间,597,1784828
某,599,1779835
产生,600,1778855
人民币,601,1776562
价值,602,1775707
感觉,603,1769402
战略,604,1766542
双,605,1764966
怎么,606,1764314
数,607,1757691
成本,608,1753346
吧,609,1752665
便,610,1749933
选手,611,1747738
导致,612,1747337
头,613,1746136
朋友,614,1745362
电影,615,1744312
台湾,616,1741124
分钟,617,1740010
之前,618,1739124
措施,619,1737828
以后,620,1737475
科技,621,1736324
之一,622,1734400
居民,623,1732671
开展,624,1727203
竞争,626,1726607
尽管,627,1723447
群众,628,1719468
另,629,1717075
努力,630,1715927
面,631,1707790
持续,632,1705203
健康,633,1697067
套,634,1693734
英国,635,1693524
办法,636,1691548
变化,637,1688474
土地,638,1688110
旅游,639,1687709
这么,640,1684897
帮助,641,1683246
幅,642,1678825
消费,643,1669812
精神,644,1667953
最高,645,1666172
叫,646,1664305
克,647,1660897
即,648,1659318
各种,649,1658113
证券,650,1655042
具体,651,1651227
购买,652,1648274
再次,653,1646073
