"字","繁体"
贸,貿
么,麼
霉,黴
门,門
扪,捫
闷,悶
焖,燜
懑,懣
们,們
蒙,矇 濛 懞
黾,黽
梦,夢
弥,彌
猕,獼
谜,謎
觅,覓
绵,綿
缅,緬
面,麵
缈,緲
庙,廟
灭,滅
蔑,衊
闵,閔
闽,閩
悯,憫
鸣,鳴
谬,謬
默,黙
谋,謀
亩,畝
蓦,驀
纳,納
难,難
挠,撓
恼,惱
脑,腦
闹,鬧
讷,訥
馁,餒
拟,擬
腻,膩
鲇,鮎
鲶,鯰
辇,輦
撵,攆
酿,釀
鸟,鳥
袅,嫋
聂,聶
啮,齧
镊,鑷
蹑,躡
宁,寧
拧,擰
咛,嚀
狞,獰
柠,檸
聍,聹
泞,濘
纽,紐
钮,鈕
农,農
侬,儂
哝,噥
浓,濃
脓,膿
驽,駑
疟,瘧
诺,諾
殴,毆
鸥,鷗
沤,漚
呕,嘔
怄,慪
欧,歐
盘,盤
蹒,蹣
庞,龐
赔,賠
喷,噴
鹏,鵬
纰,紕
辟,闢
骈,駢
骗,騙
缥,縹
飘,飄
贫,貧
频,頻
嫔,嬪
评,評
苹,蘋
凭,憑
泼,潑
颇,頗
扑,撲
仆,僕
朴,樸
谱,譜
铺,鋪
栖,棲
齐,齊
荠,薺
颀,頎
脐,臍
骐,騏
骑,騎
鳍,鰭
启,啟
岂,豈
弃,棄
气,氣 気
讫,訖
千,韆
迁,遷
牵,牽
铅,鉛
谦,謙
签,簽 籤
佥,僉
钱,錢
钳,鉗
浅,淺
谴,譴
纤,縴 纖
堑,塹
枪,槍
锵,鏘
强,強
墙,牆
蔷,薔
抢,搶
炝,熗
跄,蹌
呛,嗆
窍,竅
跷,蹺
锹,鍬
乔,喬
侨,僑
桥,橋
荞,蕎
诮,誚
翘,翹
窃,竊
惬,愜
锲,鍥
钦,欽
亲,親
寝,寢
轻,輕
氢,氫
倾,傾
请,請
顷,頃
庆,慶
穷,窮
琼,瓊
秋,鞦
鳅,鰍
区,區
岖,嶇
诎,詘
驱,驅
躯,軀
趋,趨
觑,覷
曲,麯
权,權
诠,詮
颧,顴
绻,綣
劝,勸
确,確
阕,闋
鹊,鵲
阙,闕
让,讓
饶,饒
娆,嬈
扰,擾
绕,繞
热,熱
认,認
纫,紉
韧,韌
饪,飪
纴,紝
荣,榮
绒,絨
嵘,嶸
蝾,蠑
缛,縟
软,軟
锐,銳
闰,閏
润,潤
洒,灑
萨,薩
赛,賽
伞,傘
丧,喪
骚,騷
扫,掃
涩,澀
啬,嗇
杀,殺
纱,紗
鲨,鯊
筛,篩
晒,曬
闪,閃
陕,陝
缮,繕
讪,訕
鳝,鱔
赡,贍
伤,傷
殇,殤
赏,賞
觞,觴
烧,燒
绍,紹
赊,賒
舍,捨
设,設
摄,攝
慑,懾
绅,紳
沈,瀋
审,審
婶,嬸
肾,腎
渗,滲
声,聲
