Dataset,Label,Address,Longitude,Latitude,StartTime,EndTime,Comments
古埃及年表,新王国-第20王朝-拉姆西斯五世(Ramesses V (Usermaatresekheperenre)),,,,公元前1147,公元前1143,
古埃及年表,新王国-第20王朝-拉姆西斯六世(Ramesses VI (Nebmaatremeryamun)),,,,公元前1143,公元前1136,
古埃及年表,新王国-第20王朝-拉姆西斯七世(Ramesses VII (Usermaatresetepenre)),,,,公元前1136,公元前1129,
古埃及年表,新王国-第20王朝-拉姆西斯八世(Ramesses VIII (Usermaatreakhenamun)),,,,公元前1129,公元前1126,
古埃及年表,新王国-第20王朝-拉姆西斯九世(Ramesses IX (Neferkaresetepenre)),,,,公元前1126,公元前1108,
古埃及年表,新王国-第20王朝-拉姆西斯十世(Ramesses X (Khepermaatresetepenre)),,,,公元前1108,公元前1099,
古埃及年表,新王国-第20王朝-拉姆西斯十一世(Ramesses XI (Menmaatresetepenptah)),,,,公元前1099,公元前1069,
古埃及年表,第三中间期-第21/22/23/24王朝-斯孟迪斯(Smedes),,,,公元前,公元前,塔尼斯
古埃及年表,第三中间期-第21/22/23/24王朝-苏森尼斯(Psusennes),,,,公元前,公元前,布巴斯提斯：猫女神巴斯特的圣城
古埃及年表,第三中间期-第21/22/23/24王朝-朔申克一世利比亚统治者,,,,公元前,公元前,
古埃及年表,第三中间期-第21/22/23/24王朝-舍松契(Sheshonq)一世,,,,公元前,公元前,
古埃及年表,第三中间期-第21/22/23/24王朝-舍松契(Sheshonq)二世,,,,公元前,公元前,
古埃及年表,第三中间期-第21/22/23/24王朝-舍松契(Sheshonq)三世,,,,公元前,公元前,
古埃及年表,第三中间期-第21/22/23/24王朝-舍松契(Sheshonq)四世,,,,公元前,公元前,
古埃及年表,第三中间期-第21/22/23/24王朝-舍松契(Sheshonq)五世,,,,公元前,公元前,
古埃及年表,第三中间期-第21/22/23/24王朝-奥索尔孔(Osorkon)一世,,,,公元前,公元前,
古埃及年表,第三中间期-第21/22/23/24王朝-奥索尔孔(Osorkon)二世,,,,公元前,公元前,
古埃及年表,第三中间期-第21/22/23/24王朝-奥索尔孔(Osorkon)三世,,,,公元前,公元前,
古埃及年表,第三中间期-第21/22/23/24王朝-奥索尔孔(Osorkon)四世,,,,公元前,公元前,莱特翁坡里斯
古埃及年表,第三中间期-第21/22/23/24王朝-塔克罗特(Takelot)一世,,,,公元前,公元前,
古埃及年表,第三中间期-第21/22/23/24王朝-塔克罗特(Takelot)二世,,,,公元前,公元前,
古埃及年表,第三中间期-第21/22/23/24王朝-塔克罗特(Takelot)三世,,,,公元前,公元前,舍易斯
古埃及年表,伊索比亚和萨伊斯的复兴-第25王朝-匹耶；沙巴阔(Shebaka),,,,公元前712,公元前698,舍易斯
古埃及年表,伊索比亚和萨伊斯的复兴-第25王朝-摄比特库(Shebitku),,,,公元前698,公元前690,
古埃及年表,伊索比亚和萨伊斯的复兴-第25王朝-塔哈卡(Taharqa),,,,公元前690,公元前664,
古埃及年表,伊索比亚和萨伊斯的复兴-第25王朝-坦沃塔玛尼(Tantamani),,,,公元前664,公元前657,
古埃及年表,伊索比亚和萨伊斯的复兴-第26王朝-萨姆提克一世(Psammetichus I (Psam-tik)),,,,公元前664,公元前610,
古埃及年表,伊索比亚和萨伊斯的复兴-第26王朝-尼科二世；阿玛西斯(Amasis),,,,公元前570,公元前526,
古埃及年表,伊索比亚和萨伊斯的复兴-第26王朝-萨姆提克二世(Psammetichus II),,,,公元前610,公元前595,
古埃及年表,波斯王朝-第27/28/29/30王朝-冈比西斯(Cambyses),,,,公元前525,公元前522,
古埃及年表,波斯王朝-第27/28/29/30王朝-大流士一世(Darius I),,,,公元前521,公元前486,
古埃及年表,波斯王朝-第27/28/29/30王朝-薛西斯(Xerxes I),,,,公元前486,公元前466,
古埃及年表,波斯王朝-第27/28/29/30王朝-阿尔塔薛西斯(Artaxerxes I),,,,公元前465,公元前424,
古埃及年表,波斯王朝-第27/28/29/30王朝-大流士二世(Darius II),,,,公元前424,公元前404,
古埃及年表,波斯王朝-第27/28/29/30王朝-阿米尔泰乌斯(Amyrtaios9),,,,公元前404,公元前399,门德斯
古埃及年表,波斯王朝-第27/28/29/30王朝-哈克里斯(Hakoris),,,,公元前393,公元前380,
古埃及年表,波斯王朝-第27/28/29/30王朝-奈科坦尼布一世(Nectanebo I),,,,公元前380,公元前362,
古埃及年表,波斯王朝-第27/28/29/30王朝-杰德霍尔(Teos),,,,公元前365,公元前360,
古埃及年表,波斯王朝-第27/28/29/30王朝-奈科坦尼布二世(Nectanebo II),,,,公元前360,公元前343,
古埃及年表,波斯王朝-第27/28/29/30王朝-阿尔塔薛西斯三世(Ochus (Artaxerxes III)),,,,公元前343,公元前338,
古埃及年表,波斯王朝-第27/28/29/30王朝-阿尔塞斯(Arses),,,,公元前338,公元前336,
古埃及年表,波斯王朝-第27/28/29/30王朝-大流士三世(Darius III Codomannus),,,,公元前335,公元前332,塞边尼图斯
古埃及年表,希腊王朝-马其顿王朝,,,,公元前332,公元前323,
古埃及年表,希腊王朝-亚历山大大帝(Alexander the Great),,,,公元前 332,公元前323,
古埃及年表,希腊王朝-菲利普(Philip Arrhidaeus),,,,公元前323,公元前316,
古埃及年表,希腊王朝-阿黑大由斯(Arrhidaeus),,,,公元前,公元前,
古埃及年表,希腊王朝-亚历山大四世(Alexander IV),,,,公元前316,公元前304,
古埃及年表,托勒密王朝-托勒密(Ptolemy)一世到托勒密十一世,,,,公元前,公元前,
古埃及年表,托勒密王朝-克利奥帕特拉(Cleopatra)二世,,,,公元前,公元前,
古埃及年表,托勒密王朝-托勒密十二世,,,,公元前,公元前,
古埃及年表,托勒密王朝-尼欧斯·狄奥尼索斯(Neos Dionysos 80-58 & 55-51),,,,公元前,公元前,
古埃及年表,托勒密王朝-伯利尼斯四世王后(Berenice IV),,,,公元前58,公元前55,
古埃及年表,托勒密王朝-托勒密十三世,,,,公元前,公元前,
古埃及年表,托勒密王朝-克利奥帕特拉七世(埃及艳后)(Cleopatra VII),,,,公元前,公元前,
古埃及年表,托勒密王朝-托勒密十四世(恺撒里安),,,,公元前,公元前,

