# 来源：本词表来自BCC语料库汉语部分的科技（technology）频道。
# 说明：未去除字母词。存在部分数量词残留。
# 制作：北京语言大学・信息科学学院・大数据与教育技术研究所 2015年10月
# 引用：北京语言大学BCC语料库 http://bcc.blcu.edu.cn
# 吾匣：截取频数大于等于200的数据
词,排名,频数
凸,4021,64928
幼,4022,64926
旋,4023,64888
密封,4024,64870
圆形,4025,64820
跟踪,4026,64795
外贸,4027,64749
橡胶,4028,64735
拓宽,4029,64715
依次,4030,64699
命运,4031,64689
窄,4032,64674
洛,4033,64665
中度,4034,64661
煤矿,4035,64655
育种,4036,64614
筛,4037,64608
语义,4038,64605
官员,4039,64526
泪,4040,64491
ＥＴ,4041,64459
地方政府,4042,64383
逐年,4043,64340
责任制,4044,64340
甘,4045,64283
亲,4046,64275
布置,4047,64263
实事求是,4048,64261
不完全,4049,64228
凭,4050,64228
生动,4051,64217
货物,4052,64202
遵守,4053,64201
放射性,4054,64181
一流,4055,64164
水土保持,4056,64145
限于,4057,64135
时刻,4058,64096
诸如,4059,64095
分数,4060,64092
消极,4061,64085
指示,4062,64084
不等,4063,64081
主流,4064,64045
私人,4065,64007
插管,4066,64002
婚姻,4067,63979
替,4068,63978
窗,4069,63958
平行,4070,63956
对立,4071,63924
趋,4072,63919
或是,4073,63916
磷酸,4074,63911
国际化,4075,63887
电泳,4076,63858
仍是,4077,63843
开关,4078,63835
答,4079,63823
颈部,4080,63822
尤,4081,63774
纤维化,4082,63721
十二指肠,4083,63700
港,4084,63669
西南,4085,63661
分开,4086,63653
相机,4087,63636
回声,4088,63620
关闭,4089,63580
例子,4090,63575
睡眠,4091,63570
中国共产党,4092,63566
法治,4093,63559
民事,4094,63531
旨在,4095,63518
亮,4096,63497
淘汰,4097,63429
纪律,4098,63422
检索,4099,63419
试图,4100,63418
陶瓷,4101,63415
最大限度,4102,63415
信任,4103,63391
护,4104,63363
率先,4105,63357
γ,4106,63332
外观,4107,63332
息,4108,63317
麻,4109,63315
物资,4110,63301
硅,4111,63276
耗,4112,63262
丹参,4113,63242
运转,4114,63229
出售,4115,63215
不难,4116,63200
播种,4117,63155
报表,4118,63141
鲁迅,4119,63129
总医院,4120,63113
安置,4121,63104
嗜,4122,63098
拍,4123,63083
报刊,4124,63038
关键词,4125,63030
全局,4126,63019
报纸,4127,63009
近日,4128,63007
发酵,4129,62998
塑造,4130,62993
响应,4131,62986
情形,4132,62962
成都,4133,62956
道理,4134,62955
起步,4135,62932
密,4136,62921
恶心,4137,62919
夜,4138,62894
医学院,4139,62851
弥补,4140,62827
黄河,4141,62788
颇,4142,62757
季度,4143,62729
俱,4144,62728
抢救,4145,62720
叙述,4146,62714
验收,4147,62693
外汇,4148,62676
鸭,4149,62672
那里,4150,62667
ｅ,4151,62658
称之为,4152,62631
ＴＮＦ,4153,62595
过滤,4154,62583
流失,4155,62567
唑,4156,62566
无关,4157,62547
上网,4158,62542
传染病,4159,62542
旅游业,4160,62485
忽略,4161,62482
退出,4162,62470
薄膜,4163,62454
招生,4164,62409
树脂,4165,62345
物体,4166,62332
开发区,4167,62329
词语,4168,62325
植株,4169,62239
心灵,4170,62239
婴儿,4171,62233
东方,4172,62165
案例,4173,62164
晶状体,4174,62152
横向,4175,62143
防护,4176,62124
过高,4177,62123
南方,4178,62112
审判,4179,62110
均衡,4180,62104
外语,4181,62072
耐药,4182,62072
制造业,4183,62048
想到,4184,62044
全方位,4185,62035
北方,4186,62029
析,4187,62028
私,4188,62028
支柱,4189,62023
协助,4190,62017
阻碍,4191,61986
洞,4192,61978
以免,4193,61914
府,4194,61854
第一医院,4195,61850
难点,4196,61847
革,4197,61793
同类,4198,61780
政权,4199,61776
无限,4200,61762
的确,4201,61739
钉,4202,61738
相差,4203,61730
精力,4204,61728
返,4205,61720
仓,4206,61720
阻,4207,61713
无形,4208,61663
条款,4209,61660
水库,4210,61633
流行病学,4211,61612
公顷,4212,61577
识,4213,61564
检疫,4214,61549
经济体制,4215,61544
专业化,4216,61542
课文,4217,61528
分流,4218,61486
胆固醇,4219,61450
抱,4220,61446
全球化,4221,61432
平时,4222,61415
胶囊,4223,61390
触,4224,61381
主持,4225,61370
莫,4226,61341
独,4227,61335
园林,4228,61334
陕西,4229,61320
申报,4230,61300
依托,4231,61278
实时,4232,61211
肺部,4233,61207
学员,4234,61196
其一,4235,61177
本来,4236,61169
审核,4237,61138
太阳,4238,61103
子女,4239,61098
Ⅳ,4240,61078
坝,4241,61059
饮水,4242,61035
交际,4243,61023
生殖,4244,61023
不适,4245,60930
瘘,4246,60922
信息系统,4247,60917
确切,4248,60905
俄罗斯,4249,60885
腺癌,4250,60870
推测,4251,60853
镁,4252,60850
局限性,4253,60835
征收,4254,60822
来讲,4255,60815
中小,4256,60814
失业,4257,60812
刚刚,4258,60805
造型,4259,60763
挖掘,4260,60757
贵,4261,60748
读书,4262,60729
党政,4263,60723
滞,4264,60714
高考,4265,60705
叠,4266,60693
噬,4267,60682
处方,4268,60668
剪,4269,60601
适量,4270,60593
部署,4271,60494
ｎｍ,4272,60479
委员,4273,60477
各部门,4274,60470
韧带,4275,60456
渣,4276,60448
外来,4277,60444
设想,4278,60435
过敏,4279,60420
客体,4280,60396
肾小球,4281,60388
债,4282,60382
窗口,4283,60350
四肢,4284,60348
多年来,4285,60328
板块,4286,60306
储蓄,4287,60273
节省,4288,60220
抵抗,4289,60189
当作,4290,60159
软组织,4291,60157
祛,4292,60146
壮大,4293,60136
入手,4294,60089
不久,4295,60047
隔离,4296,60021
胚,4297,59969
车间,4298,59903
地层,4299,59893
增长率,4300,59887
出于,4301,59852
粒细胞,4302,59814
感性,4303,59813
矿物,4304,59793
疏,4305,59760
痉挛,4306,59746
直肠,4307,59740
大都,4308,59707
界限,4309,59700
钟,4310,59680
过于,4311,59677
浮,4312,59673
命,4313,59662
ＩＰ,4314,59661
休息,4315,59653
指定,4316,59648
承,4317,59625
方言,4318,59619
护士,4319,59525
麦,4320,59517
涂料,4321,59509
艾滋病,4322,59470
既然,4323,59460
修正,4324,59428
伤口,4325,59424
生存率,4326,59394
观测,4327,59337
立体,4328,59300
键,4329,59247
｛,4330,59223
结肠,4331,59193
精心,4332,59141
纤,4333,59129
临,4334,59101
首要,4335,59066
领先,4336,59052
伤害,4337,59027
杨,4338,59021
节点,4339,59021
兴奋,4340,59018
饱和,4341,58985
议,4342,58970
认同,4343,58955
梦,4344,58919
乎,4345,58911
地震,4346,58908
一次性,4347,58898
铸造,4348,58882
硬化,4349,58837
见于,4350,58826
蒸,4351,58790
甲基,4352,58782
真菌,4353,58753
节目,4354,58744
先天性,4355,58738
恶,4356,58696
表述,4357,58694
临时,4358,58684
地点,4359,58674
诺,4360,58666
燃烧,4361,58658
考生,4362,58598
质量管理,4363,58582
辞,4364,58563
施行,4365,58540
显微镜,4366,58533
迁移,4367,58462
输尿管,4368,58420
举措,4369,58415
胸腔,4370,58410
利用率,4371,58409
犯,4372,58384
刻,4373,58370
任意,4374,58366
题目,4375,58339
倾斜,4376,58331
ｋｍ,4377,58286
披露,4378,58214
片段,4379,58209
腹膜,4380,58118
舆论,4381,58085
信念,4382,58079
酰,4383,58068
成形,4384,58049
找出,4385,58033
复制,4386,58031
信誉,4387,57990
福,4388,57988
汁,4389,57933
兴起,4390,57919
大气,4391,57888
文本,4392,57874
词汇,4393,57829
心脏病,4394,57818
期望,4395,57802
每月,4396,57765
资产阶级,4397,57733
几何,4398,57728
宫颈,4399,57714
气象,4400,57708
相近,4401,57702
堂,4402,57683
果实,4403,57655
大面积,4404,57605
红色,4405,57605
禁,4406,57588
阻塞,4407,57545
印象,4408,57544
坡,4409,57489
矩阵,4410,57486
外界,4411,57485
某个,4412,57465
她们,4413,57452
保险公司,4414,57448
回到,4415,57441
截,4416,57410
象征,4417,57399
ｑ,4418,57372
癌细胞,4419,57323
迫切,4420,57295
梗塞,4421,57287
排放,4422,57283
抵押,4423,57256
坏,4424,57246
终端,4425,57225
来到,4426,57190
币,4427,57184
储,4428,57173
诊治,4429,57139
持有,4430,57132
业内,4431,57108
收获,4432,57107
到达,4433,57105
特有,4434,57102
画面,4435,57095
佛,4436,57068
腿,4437,57061
毕竟,4438,57024
充血,4439,56987
明白,4440,56977
配备,4441,56977
气氛,4442,56972
十几,4443,56953
新药,4444,56947
基底,4445,56933
拨,4446,56916
接轨,4447,56911
埋,4448,56911
行情,4449,56909
汽,4450,56863
学位,4451,56846
去除,4452,56829
??,4453,56820
联合国,4454,56810
齿,4455,56775
探查,4456,56755
奶牛,4457,56745
外侧,4458,56743
恰当,4459,56723
电影,4460,56702
熟,4461,56695
严峻,4462,56688
青霉素,4463,56624
偶,4464,56600
应变,4465,56584
凝血,4466,56567
灌溉,4467,56564
心态,4468,56561
望,4469,56545
达成,4470,56513
城市化,4471,56512
籽,4472,56485
概率,4473,56469
摄影,4474,56450
困,4475,56442
宏观调控,4476,56421
净化,4477,56416
营业,4478,56399
国债,4479,56395
新建,4480,56353
新增,4481,56352
开采,4482,56324
以致,4483,56316
试样,4484,56304
天地,4485,56297
收治,4486,56295
通气,4487,56271
推理,4488,56265
全新,4489,56254
指挥,4490,56253
调查研究,4491,56241
直观,4492,56238
腐蚀,4493,56235
食用,4494,56144
衰,4495,56107
疲劳,4496,56106
票,4497,56083
盐酸,4498,56056
情节,4499,56043
不愿,4500,56034
苏联,4501,56034
播,4502,56033
伸,4503,56031
移位,4504,56021
访,4505,56021
黄色,4506,55985
暗,4507,55958
＆,4508,55951
负债,4509,55943
每周,4510,55934
孕妇,4511,55926
转型,4512,55916
打印,4513,55892
怕,4514,55882
什么样,4515,55882
喉,4516,55875
倡导,4517,55873
初始,4518,55837
师资,4519,55832
原材料,4520,55789
填,4521,55787
必需,4522,55786
启发,4523,55752
舍,4524,55735
线粒体,4525,55701
多样性,4526,55700
知识分子,4527,55683
此后,4528,55592
雪,4529,55590
胰腺,4530,55509
河南省,4531,55450
多样化,4532,55412
亲自,4533,55390
廉,4534,55372
铺,4535,55347
卧,4536,55336
码,4537,55328
不一,4538,55309
对话,4539,55284
枚,4540,55244
愿望,4541,55223
回顾,4542,55218
并用,4543,55207
离不开,4544,55176
双向,4545,55171
穴位,4546,55146
⑥,4547,55097
补贴,4548,55084
一道,4549,55052
中外,4550,55051
前房,4551,55049
配方,4552,55044
攻击,4553,55036
追究,4554,55014
欣赏,4555,55002
畜牧业,4556,54990
辨证,4557,54987
联盟,4558,54983
冻,4559,54980
′,4560,54955
阴阳,4561,54944
洋,4562,54938
皮下,4563,54911
阻止,4564,54903
分割,4565,54889
到底,4566,54886
遂,4567,54885
之内,4568,54870
研发,4569,54851
言语,4570,54840
药理,4571,54838
事业单位,4572,54817
佛教,4573,54792
天气,4574,54709
列为,4575,54704
人人,4576,54699
输送,4577,54675
拮,4578,54668
早已,4579,54666
物品,4580,54659
微机,4581,54657
结晶,4582,54641
那个,4583,54631
自治,4584,54616
浓,4585,54592
淀粉,4586,54590
起点,4587,54579
抑郁,4588,54567
胀,4589,54560
眼压,4590,54559
疗,4591,54515
命名,4592,54492
加深,4593,54479
方差,4594,54470
阀,4595,54466
ＰＣ,4596,54452
其二,4597,54450
消防,4598,54437
观众,4599,54432
平稳,4600,54406
镇痛,4601,54394
终止,4602,54350
焦点,4603,54320
酒精,4604,54309
肾病,4605,54289
溶剂,4606,54266
置换,4607,54262
药学,4608,54231
券,4609,54215
选拔,4610,54192
癌症,4611,54189
宽度,4612,54166
锁,4613,54165
体检,4614,54154
供水,4615,54150
态势,4616,54145
乳腺,4617,54139
昆明,4618,54110
正当,4619,54102
牵引,4620,54075
险,4621,54068
保守,4622,54067
许,4623,54059
内心,4624,54058
鲁,4625,54055
机能,4626,54052
共识,4627,54047
添加剂,4628,54020
主席,4629,54004
困境,4630,53974
＠,4631,53962
仔猪,4632,53937
桥梁,4633,53933
分娩,4634,53913
焦,4635,53906
灵魂,4636,53900
季,4637,53899
厘,4638,53888
高质量,4639,53860
充实,4640,53849
偏差,4641,53848
非线性,4642,53843
判决,4643,53817
名词,4644,53805
薄弱,4645,53783
兵,4646,53782
人性,4647,53727
船舶,4648,53714
颗,4649,53683
雅,4650,53654
固有,4651,53639
睾丸,4652,53638
话题,4653,53625
进出口,4654,53593
停留,4655,53593
功效,4656,53563
法官,4657,53547
收支,4658,53545
戴,4659,53537
脱水,4660,53522
省政府,4661,53514
搅拌,4662,53478
父,4663,53454
古典,4664,53449
信用卡,4665,53448
梗阻,4666,53434
业主,4667,53413
电位,4668,53400
浓缩,4669,53391
兽医,4670,53365
不在,4671,53354
粪,4672,53351
放大,4673,53345
创办,4674,53285
公元,4675,53275
失调,4676,53216
韵,4677,53192
雷,4678,53169
胎盘,4679,53160
杯,4680,53114
远端,4681,53107
网点,4682,53092
盲,4683,53087
趋于,4684,53074
武器,4685,53063
危,4686,52993
续,4687,52983
严密,4688,52980
据此,4689,52974
电池,4690,52963
谈判,4691,52950
暂时,4692,52939
缺失,4693,52924
全区,4694,52922
充,4695,52912
烟草,4696,52901
癫痫,4697,52881
县级,4698,52875
易于,4699,52865
瓦,4700,52864
清醒,4701,52827
固体,4702,52790
武,4703,52781
公务员,4704,52781
尺度,4705,52770
博,4706,52759
干旱,4707,52742
占据,4708,52737
公告,4709,52688
清洗,4710,52657
研究者,4711,52636
纵向,4712,52636
??,4713,52626
阶层,4714,52612
矫正,4715,52583
波长,4716,52582
管理局,4717,52562
摩擦,4718,52540
赤,4719,52503
巩膜,4720,52497
紧紧,4721,52455
止痛,4722,52454
建构,4723,52437
适时,4724,52437
节奏,4725,52435
盆地,4726,52408
顿,4727,52380
牵,4728,52364
肾上腺,4729,52343
平均值,4730,52330
吐,4731,52290
养老,4732,52283
表演,4733,52246
对手,4734,52228
公安,4735,52216
病理学,4736,52195
产后,4737,52194
岗,4738,52190
适度,4739,52187
鞋,4740,52186
腹水,4741,52166
血脂,4742,52152
特异,4743,52128
乘,4744,52113
投标,4745,52105
河北,4746,52084
寄,4747,52078
责,4748,52036
陆,4749,51998
减退,4750,51977
卫生部,4751,51936
发射,4752,51912
降至,4753,51910
谈到,4754,51903
准确性,4755,51891
绕,4756,51880
奥,4757,51878
守,4758,51874
器械,4759,51868
新时期,4760,51864
水质,4761,51856
遍,4762,51828
境内,4763,51755
知名,4764,51752
缓冲,4765,51734
生育,4766,51728
青光眼,4767,51689
饲,4768,51672
宋,4769,51650
正相关,4770,51602
法学,4771,51595
练,4772,51586
牧,4773,51572
不敢,4774,51539
覆,4775,51535
局长,4776,51535
机组,4777,51528
实在,4778,51513
立场,4779,51494
奉献,4780,51464
售,4781,51460
日期,4782,51450
拆,4783,51445
脊柱,4784,51418
可谓,4785,51375
大便,4786,51362
臣,4787,51361
豆,4788,51354
全世界,4789,51337
位点,4790,51330
扶贫,4791,51329
情报,4792,51328
随意,4793,51306
宇宙,4794,51289
反思,4795,51272
测验,4796,51264
水土流失,4797,51263
赴,4798,51232
中部,4799,51214
偿,4800,51197
光滑,4801,51196
肢,4802,51171
着眼,4803,51122
未经,4804,51116
租,4805,51092
活血,4806,51082
吸取,4807,51040
代表性,4808,51025
消灭,4809,51014
结扎,4810,51013
典,4811,50997
疏松,4812,50975
出资,4813,50951
好处,4814,50946
游客,4815,50942
透析,4816,50922
鸟,4817,50881
东北,4818,50845
至关重要,4819,50828
帮,4820,50806
纳米,4821,50794
肝硬化,4822,50785
般,4823,50768
煮,4824,50761
上方,4825,50732
债券,4826,50730
评审,4827,50710
跨国公司,4828,50707
圣,4829,50669
轿车,4830,50615
芯片,4831,50614
适应性,4832,50605
上部,4833,50600
大中型,4834,50592
峰值,4835,50556
充足,4836,50549
绝,4837,50533
代价,4838,50524
珠,4839,50523
争论,4840,50511
修养,4841,50505
膏,4842,50492
一生,4843,50484
过分,4844,50481
陷入,4845,50468
迄今,4846,50461
互动,4847,50433
幸福,4848,50427
目录,4849,50401
部件,4850,50386
组分,4851,50357
军队,4852,50356
比率,4853,50338
领导班子,4854,50306
意大利,4855,50287
垫,4856,50263
月经,4857,50229
山西,4858,50212
遭受,4859,50139
变更,4860,50135
吸入,4861,50121
历程,4862,50096
文物,4863,50095
出席,4864,50093
安徽,4865,50092
实习,4866,50046
彩,4867,50044
气血,4868,50038
势力,4869,50002
着手,4870,49990
轻微,4871,49986
弯,4872,49926
冬季,4873,49906
争议,4874,49900
不平衡,4875,49896
湿度,4876,49869
不明,4877,49813
附加,4878,49789
依照,4879,49779
输血,4880,49772
中断,4881,49759
民办,4882,49757
印刷,4883,49743
肥胖,4884,49693
启示,4885,49678
当中,4886,49665
欧盟,4887,49665
尿素,4888,49645
并存,4889,49643
通风,4890,49642
失误,4891,49630
足球,4892,49607
驻,4893,49586
蒙,4894,49569
≤,4895,49555
循,4896,49545
不及,4897,49530
娱乐,4898,49511
ｍｏｌ,4899,49510
ＧＤＰ,4900,49475
选举,4901,49453
穿孔,4902,49450
匹配,4903,49434
刊物,4904,49433
师范,4905,49415
党中央,4906,49400
室温,4907,49395
势头,4908,49394
港口,4909,49389
表皮,4910,49374
严肃,4911,49348
减压,4912,49341
冒,4913,49334
是非,4914,49334
沥青,4915,49297
无力,4916,49288
胸部,4917,49285
彼此,4918,49273
要点,4919,49268
急诊,4920,49248
眼睛,4921,49238
泰,4922,49203
电大,4923,49187
刑,4924,49166
神经系统,4925,49147
黄芪,4926,49135
沈阳,4927,49110
隧道,4928,49102
缸,4929,49098
三峡,4930,49096
成像,4931,49086
趋向,4932,49083
许可证,4933,49077
凝固,4934,49047
激动,4935,48989
意外,4936,48976
高技术,4937,48971
用途,4938,48964
最主要,4939,48951
玻璃体,4940,48946
接入,4941,48916
剩余,4942,48907
侧重,4943,48901
命令,4944,48900
策划,4945,48886
家属,4946,48868
窝,4947,48797
贯穿,4948,48790
分泌物,4949,48778
自然界,4950,48776
近似,4951,48767
首选,4952,48758
公认,4953,48757
吴,4954,48731
伯,4955,48686
ｍＲＮＡ,4956,48622
粒子,4957,48612
利息,4958,48559
鳞,4959,48558
弊端,4960,48552
攻关,4961,48529
地基,4962,48519
儿子,4963,48515
遭到,4964,48489
冷冻,4965,48449
责任感,4966,48430
销售额,4967,48417
坚实,4968,48399
违规,4969,48395
矿产,4970,48383
纪,4971,48383
棒,4972,48380
短缺,4973,48366
辨,4974,48366
云南省,4975,48359
χ,4976,48357
中学生,4977,48357
诞生,4978,48336
数码,4979,48329
紧急,4980,48322
动员,4981,48320
心室,4982,48301
跌,4983,48297
造血,4984,48289
下午,4985,48277
力争,4986,48272
所有者,4987,48267
疫情,4988,48253
付出,4989,48248
身心,4990,48244
拔,4991,48244
大黄,4992,48236
纹,4993,48201
屈,4994,48189
多普勒,4995,48180
钛,4996,48172
利于,4997,48167
采样,4998,48138
势必,4999,48135
膝关节,5000,48122
下跌,5001,48110
库存,5002,48098
容器,5003,48096
饮料,5004,48092
友,5005,48073
街,5006,48064
仪表,5007,48046
新华社,5008,48042
园区,5009,48034
关税,5010,48032
美好,5011,48027
哪里,5012,48007
只需,5013,47999
压痛,5014,47995
收取,5015,47990
苔,5016,47989
甘油,5017,47989
说话,5018,47980
丹,5019,47977
执业,5020,47974
侵权,5021,47974
加拿大,5022,47951
而已,5023,47949
保温,5024,47946
笑,5025,47904
刮,5026,47901
验,5027,47900
阐明,5028,47897
螺旋,5029,47881
合理性,5030,47842
相连,5031,47840
服从,5032,47764
开创,5033,47750
放松,5034,47744
肝素,5035,47742
发动机,5036,47727
辩证,5037,47703
膝,5038,47673
变迁,5039,47670
飞行,5040,47658
桔,5041,47649
心房,5042,47638
江西,5043,47628
拍卖,5044,47605
实例,5045,47558
积分,5046,47541
精密,5047,47541
深层,5048,47528
股骨,5049,47498
力求,5050,47450
研究院,5051,47442
修补,5052,47438
裂纹,5053,47401
小肠,5054,47390
人民法院,5055,47357
政务,5056,47351
挖,5057,47338
量化,5058,47329
所属,5059,47296
向前,5060,47291
济南,5061,47288
对称,5062,47253
反之,5063,47251
畅,5064,47243
互补,5065,47224
弯曲,5066,47222
媒介,5067,47198
富裕,5068,47188
剥离,5069,47185
吹,5070,47174
弹,5071,47162
账,5072,47150
检出率,5073,47131
场地,5074,47116
碱性,5075,47115
详,5076,47094
书面,5077,47084
大批,5078,47075
冰,5079,47061
辉煌,5080,47000
磨损,5081,46975
物价,5082,46972
债权,5083,46970
舒张,5084,46959
对抗,5085,46958
照明,5086,46953
邮,5087,46943
参见,5088,46928
澳门,5089,46921
演出,5090,46919
训,5091,46903
发动,5092,46899
籍,5093,46877
钼,5094,46873
生活方式,5095,46868
视频,5096,46868
主机,5097,46854
电阻,5098,46853
怀,5099,46831
不知道,5100,46818
领导人,5101,46802
整治,5102,46784
新兴,5103,46757
协,5104,46750
结膜,5105,46746
财,5106,46742
锰,5107,46714
卒中,5108,46705
光纤,5109,46687
微循环,5110,46671
散文,5111,46663
关节炎,5112,46652
鼓,5113,46620
国企,5114,46616
转基因,5115,46612
税务,5116,46583
致病,5117,46565
董事长,5118,46555
体质,5119,46537
凡是,5120,46533
日常生活,5121,46510
罐,5122,46510
中和,5123,46499
筒,5124,46494
习,5125,46466
乏力,5126,46465
ＳＯＤ,5127,46423
情境,5128,46384
沉,5129,46371
岩体,5130,46346
药材,5131,46332
工序,5132,46330
定向,5133,46323
意识形态,5134,46310
伙伴,5135,46310
信用社,5136,46305
无一,5137,46286
毒素,5138,46279
手册,5139,46274
党风,5140,46271
回报,5141,46268
依赖性,5142,46249
一时,5143,46236
培,5144,46228
成品,5145,46226
定理,5146,46188
睡,5147,46186
逆转,5148,46176
建筑物,5149,46169
复习,5150,46159
尺,5151,46143
仿真,5152,46132
控制器,5153,46125
百姓,5154,46124
试题,5155,46124
不尽,5156,46113
评论,5157,46094
耐受,5158,46089
成功率,5159,46088
啊,5160,46088
产出,5161,46080
话语,5162,46073
认,5163,46063
运动员,5164,46062
超出,5165,46047
丢失,5166,46046
新加坡,5167,46033
消退,5168,46028
大肠杆菌,5169,46003
长沙,5170,45977
心肌梗死,5171,45973
干细胞,5172,45948
泡沫,5173,45935
有效性,5174,45924
沪,5175,45912
高层,5176,45854
同行,5177,45854
梅,5178,45850
血吸虫,5179,45844
科学性,5180,45843
废水,5181,45842
邮件,5182,45825
不可避免,5183,45822
切断,5184,45819
屑,5185,45809
昔,5186,45792
装修,5187,45786
国家级,5188,45780
极限,5189,45765
输卵管,5190,45759
勤,5191,45757
城区,5192,45755
人民卫生出版社,5193,45696
租赁,5194,45685
铸件,5195,45664
询问,5196,45641
秘密,5197,45631
挤压,5198,45577
细胞膜,5199,45562
买卖,5200,45555
转为,5201,45535
万物,5202,45531
幼儿园,5203,45531
津,5204,45527
重庆市,5205,45507
档,5206,45506
统筹,5207,45505
微波,5208,45500
植被,5209,45484
国民党,5210,45479
洪水,5211,45479
延,5212,45467
放电,5213,45466
堆,5214,45463
节水,5215,45454
害,5216,45452
邀请,5217,45445
扎,5218,45438
坚定,5219,45429
批发,5220,45428
终身,5221,45401
授予,5222,45374
一致性,5223,45371
舞台,5224,45368
弦,5225,45366
水位,5226,45355
伪,5227,45348
庞大,5228,45320
潮流,5229,45307
心绞痛,5230,45233
演化,5231,45230
织,5232,45177
服务业,5233,45176
财力,5234,45169
商场,5235,45149
稀,5236,45149
走势,5237,45072
细致,5238,45066
一边,5239,45045
投产,5240,45026
之际,5241,45024
协商,5242,45018
黄金,5243,44984
英雄,5244,44972
摇,5245,44966
济,5246,44960
乐观,5247,44947
生产率,5248,44936
抽取,5249,44913
供求,5250,44909
史学,5251,44904
两国,5252,44887
党组织,5253,44873
硬度,5254,44866
问卷,5255,44845
高档,5256,44839
黑色,5257,44820
免费,5258,44817
预报,5259,44809
钢铁,5260,44805
开办,5261,44789
击,5262,44788
熔,5263,44781
性病,5264,44779
吾,5265,44774
疑,5266,44773
纺织,5267,44736
心中,5268,44722
提交,5269,44717
寸,5270,44713
迁,5271,44689
脐,5272,44665
备用,5273,44655
专科,5274,44643
蒂,5275,44635
延迟,5276,44574
线索,5277,44567
ＲＮＡ,5278,44551
大事,5279,44509
温州,5280,44506
不仅仅是,5281,44496
自学,5282,44491
卦,5283,44476
陆续,5284,44464
田间,5285,44432
剧烈,5286,44429
汇率,5287,44421
降压,5288,44387
文中,5289,44361
中国人民,5290,44359
钳,5291,44327
教育部,5292,44322
弃,5293,44308
少年,5294,44307
响,5295,44281
心动,5296,44271
急剧,5297,44253
建造,5298,44249
欧美,5299,44243
球蛋白,5300,44238
亦可,5301,44226
硕士,5302,44220
湘,5303,44214
不一定,5304,44208
集团公司,5305,44208
大国,5306,44201
束缚,5307,44193
内镜,5308,44189
质粒,5309,44184
＄,5310,44181
究,5311,44140
澳大利亚,5312,44117
大体,5313,44109
水果,5314,44090
每个人,5315,44068
瘢痕,5316,44057
根源,5317,44056
炒,5318,44053
商人,5319,44053
股东大会,5320,44026
定价,5321,44006
实物,5322,43992
后面,5323,43980
源于,5324,43976
南北,5325,43974
订,5326,43969
盆,5327,43968
钙化,5328,43948
开支,5329,43947
负面,5330,43946
危险性,5331,43943
科目,5332,43931
少于,5333,43910
沉降,5334,43908
上游,5335,43906
人大,5336,43900
肉瘤,5337,43888
否认,5338,43835
热量,5339,43834
被告,5340,43832
加压,5341,43822
ＳＴ,5342,43820
第三产业,5343,43808
宝贵,5344,43781
内侧,5345,43734
一大批,5346,43725
纯化,5347,43703
罕见,5348,43702
复杂性,5349,43669
外在,5350,43647
泉,5351,43642
在线,5352,43631
参观,5353,43618
深远,5354,43610
牢固,5355,43594
路面,5356,43593
尚有,5357,43590
极端,5358,43569
镜头,5359,43565
有用,5360,43531
交替,5361,43517
迎接,5362,43503
原位,5363,43466
特殊性,5364,43445
普通话,5365,43443
氨基,5366,43417
无线,5367,43404
门静脉,5368,43393
足以,5369,43380
儿科,5370,43369
燃料,5371,43362
书写,5372,43341
本科,5373,43329
春秋,5374,43307
占用,5375,43303
高水平,5376,43259
荷载,5377,43247
繁,5378,43234
省委,5379,43234
抵,5380,43216
用以,5381,43215
喝,5382,43208
粪便,5383,43193
浸泡,5384,43186
已是,5385,43158
用法,5386,43135
均值,5387,43125
食管癌,5388,43120
历,5389,43119
企业集团,5390,43115
从业人员,5391,43101
尘,5392,43079
转速,5393,43049
根治,5394,43030
切割,5395,43019
中国科学院,5396,43017
追,5397,43009
心衰,5398,42998
哈,5399,42990
探针,5400,42984
光学,5401,42984
腰椎,5402,42978
相符,5403,42976
意识到,5404,42969
便利,5405,42964
辊,5406,42931
发送,5407,42930
掌,5408,42922
许可,5409,42859
基因组,5410,42857
ＩＴ,5411,42852
引用,5412,42845
外地,5413,42780
抽样,5414,42757
例外,5415,42750
面部,5416,42740
贮,5417,42740
首都,5418,42713
草原,5419,42705
后勤,5420,42673
汇报,5421,42664
流动性,5422,42664
人民出版社,5423,42607
从此,5424,42605
相等,5425,42600
西藏,5426,42587
可供,5427,42586
数额,5428,42583
造就,5429,42566
冰箱,5430,42563
讯,5431,42556
夏季,5432,42530
热爱,5433,42526
油田,5434,42526
剧,5435,42512
裂缝,5436,42486
胆碱,5437,42478
精品,5438,42454
民众,5439,42440
串,5440,42438
选育,5441,42422
振兴,5442,42418
生命力,5443,42418
广义,5444,42415
残余,5445,42408
恰恰,5446,42403
屏障,5447,42398
北京大学,5448,42397
密集,5449,42394
零件,5450,42373
学派,5451,42351
轮胎,5452,42351
上午,5453,42338
多样,5454,42326
ｗ,5455,42326
正义,5456,42325
拍摄,5457,42314
凉,5458,42314
雌激素,5459,42308
竞赛,5460,42301
削弱,5461,42299
宽带,5462,42296
溪,5463,42289
变质,5464,42272
老百姓,5465,42266
河北省,5466,42258
余额,5467,42235
焊接,5468,42205
淋,5469,42205
高层次,5470,42203
瞳孔,5471,42178
带领,5472,42178
